sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.097986939425625,4.560848681684232
2,5.086641132423504,2.6769156800767377
3,4.4927563064158065,1.8408972940094885
4,4.405621836235133,1.5345892147066513
5,3.507265020144251,1.2771572699036715
6,3.4944281979740515,1.1649849447650773
7,3.5242888479607544,0.9694285001191383
8,3.1565399320411975,0.8910831211544985
9,2.784969531340095,0.8268589661089236
10,2.816548627888841,0.8084515250512601
11,3.034438467059386,0.7866966158490933
12,3.0303201380678693,0.7753586038744715
13,3.088404468670277,0.7741220731667712
14,3.0646796616739027,0.7424289347578036
15,2.933802155872866,0.7152102408624575
16,2.727736046451335,0.6752553961101941
17,2.721821765053413,0.658220250169591
18,2.6791098732046406,0.6301656333230187
19,2.761175405812709,0.6226705813287907
20,2.4507250933808984,0.5233191483018795
21,2.3467592599913467,0.504513463042093
22,2.269285968600035,0.4901354000698387
23,2.0556354970470774,0.38346093201035425
24,2.047330964302971,0.39284662407550025
25,2.045714748126087,0.40210259612541205
26,2.023041347809967,0.38639701742569343
27,1.8986087534032698,0.3637696478513635
28,1.660568308063379,0.3198376080730236
29,1.602264677057897,0.3153345704897483
30,1.578060269247633,0.29556897124309806
31,1.4757954793486399,0.2733725873154045
32,1.5109725158811542,0.29253445220280966
33,1.394688678084827,0.26600903986554414
34,1.3394939683860232,0.2442028256800179
35,1.2197232451280442,0.18938947382509047
36,1.195185900409934,0.18876171081691737
37,1.1966819972567853,0.20111049152079288
38,1.1594986447423319,0.1830865002739564
39,1.208119379792013,0.19420035815848075
40,1.1699095623110232,0.1972658365660834
41,1.1273308211133277,0.17384350834521226
42,1.1427721256638972,0.19167310309649221
43,1.1286818954041578,0.16974842309837387
44,1.1934573210146648,0.18816545530580367
45,1.1141480327451136,0.1779434407083919
46,1.0973011934022154,0.17192228786937622
47,1.1723339191780182,0.1798007402078624
48,1.1177761005454783,0.17375022461375839
49,1.1094709623909242,0.19212582987004165
50,1.0258213717431166,0.1687945818179516
51,1.111528299516177,0.18343617881831237
52,1.0423747097584142,0.16549349347003423
53,1.0842370037666558,0.17042045194240069
54,1.11525403703602,0.1627696418071495
55,1.1417115332151515,0.1712988976018677
56,1.0657607922638885,0.16145476291748992
57,1.0149751606064716,0.1550538646942027
58,1.013122441525315,0.14559294927179825
59,1.0235080125936276,0.14950643241885989
60,0.9755942729808774,0.1336589705660626
61,0.9728864963213366,0.12849959531419397
62,0.9722993580809367,0.1310758367405461
63,0.95352483690594,0.13294654841321207
64,0.901211452871177,0.11203347589430625
65,0.899308633166018,0.10949813471589773
66,0.987078859098742,0.1274517995960278
67,0.9598612421430885,0.11715550185774837
68,0.9910315087676657,0.11794990892444344
69,1.011572466031686,0.1225572961945472
