sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.4958253556801637,1.6110254211459059
2,1.5651630213335948,1.0699307495442567
3,1.474116732676908,0.8581263734413933
4,1.4246074534316657,0.6642948062817818
5,1.3772070367636609,0.5772413401118712
6,1.1421961216396932,0.516686218767059
7,1.1437290456839193,0.4556866251016084
8,1.0741878182150923,0.38830448279506974
9,0.9359883890650894,0.3371262873147561
10,0.8960385774324344,0.33868790409002314
11,0.8127138462437508,0.29711662390963905
12,0.8922296934721166,0.3267869301797075
13,0.8995521139446448,0.31535596586612563
14,0.877314209241692,0.29803686661453865
15,0.8615221871307592,0.2841451687283
16,0.8649465045444514,0.2750417942304088
17,0.8220575036749295,0.26170781178705727
18,0.8535510595758704,0.2526424016126893
19,0.851433295472218,0.2539840687904781
20,0.8083441832352957,0.23731313128707943
21,0.7680887419664183,0.22087327727315068
22,0.70754701917674,0.17792618237617186
23,0.7149094339047635,0.18578632421752359
24,0.6891920549683799,0.16029305137248456
25,0.6402231374129633,0.16877654323392327
26,0.6149912276643202,0.15613115110546338
27,0.5914054557494978,0.1492112359472539
28,0.514543763844501,0.12520672620271736
29,0.45602763209668606,0.12250388609731533
30,0.46701657827351417,0.12589251485566122
31,0.4611780643577124,0.11640230984633873
32,0.41926268117097176,0.10326448752293879
33,0.39986386758437736,0.1002503816964915
34,0.4290460386001951,0.10181049929471161
35,0.450784633421202,0.10013310267567722
36,0.43087003432445237,0.09743381106479503
37,0.4545709608887499,0.10166435046075245
38,0.43573267845029884,0.09526515260559712
39,0.43047238586478526,0.09880981325377133
40,0.40912270035565856,0.09603441584092354
41,0.4034308006064313,0.09461435429645179
42,0.4218084278219125,0.08748045949077672
43,0.4022022713376032,0.0839336494698007
44,0.39474996562768944,0.08804983322976842
45,0.39959141117981034,0.08262554240651158
46,0.4161452933535425,0.08486331847136976
47,0.3923115926687817,0.07785680059787639
48,0.37567512756755295,0.07114451962120404
49,0.38940322731823607,0.07651810633003207
50,0.38225596937795897,0.07184763376108795
51,0.3517984291904644,0.06457330903431029
52,0.388159535040514,0.0682390551562915
53,0.36550558118258314,0.0679901941121437
54,0.38283983618960515,0.06351875421002658
55,0.3978736443302039,0.06823378766489335
56,0.39100938252829637,0.06458921861382723
57,0.3803647367200055,0.06683182859660065
58,0.3803897711872121,0.06697332209054142
59,0.3657540925758621,0.06332953801328083
60,0.36391484816608494,0.0635342981683857
61,0.3869063279218004,0.06421924391411332
62,0.4069310460933693,0.0646435003072334
63,0.37724002989619926,0.05704436861684881
64,0.37119835234426474,0.06030382191811109
65,0.41197359492645186,0.061490850466066914
66,0.3935170136651447,0.06017200507808904
67,0.39888954792794207,0.062319245596945926
68,0.3876510345585113,0.058983201128907425
