sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.770543279789099,4.366636106060425
2,5.267763457408969,2.2548103118862337
3,5.497938765781473,2.2583148939409785
4,5.110556598952752,1.9061232552567702
5,4.568173096489378,1.727601775359681
6,4.129171590160432,1.364913983711682
7,4.249214065790443,1.398088807997987
8,4.459045321775664,1.3791406890333795
9,4.654972549307294,1.3429276142916755
10,4.4556678854867595,1.1839200657754936
11,4.264617521741386,1.1228058784267003
12,4.2582672555059435,1.034658787003798
13,4.271656291324936,1.0121165248636181
14,4.16833436593261,0.894707381134388
15,3.8207116418933476,0.8777538142927243
16,3.5692170789987996,0.8484416102577119
17,3.4483908500263953,0.8062187945755236
18,3.141148086838984,0.7323884526341993
19,3.055022466889151,0.693389080522476
20,3.1778541227882915,0.6465075175210557
21,3.1004451238422632,0.6367452397040386
22,2.9744205427753023,0.6440558713951543
23,2.858061769397874,0.6057426838348168
24,2.877738456544537,0.5938104045265934
25,2.980519804957085,0.5643457019960251
26,2.792316082017313,0.5164178590253475
27,2.7633355514394724,0.4857681121513997
28,2.7129779947743358,0.5096914895937996
29,2.5127210666869524,0.4441601360612264
30,2.5776114273934034,0.4496218120973665
