sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.9031077719331915,4.496918673512223
2,5.0247364224643105,2.728034077171932
3,4.876245354987661,2.30787944626613
4,4.864456157709467,1.8641237551617824
5,4.353533801485532,1.4845426169350686
6,4.0524705196261595,1.4580174524834586
7,3.990079525991481,1.296912204302004
8,3.6496483535839643,1.1264091620605567
9,3.1208508686437524,0.9843826861410903
10,3.131096515061763,0.9401028700165515
11,3.0662536068759696,0.9376705303928222
12,2.81826758761268,0.8007306844242251
13,2.8965758382443365,0.8388128209460433
14,2.9731233420799215,0.8488007521828833
15,2.6952585163809624,0.762893439452116
16,2.4425033242568093,0.6675837574869747
17,2.5381624661753626,0.676829540915076
18,2.376435429091416,0.6342858957652594
19,2.4882870830426094,0.6415886452851369
20,2.187441752655832,0.5021245989999322
21,2.164066845255496,0.4705329861621727
22,2.092891688009372,0.4432711305214238
23,2.14906410224917,0.4730429122350677
24,1.9660268198123443,0.4598730773729536
25,1.9113900053380337,0.4162768379970564
26,1.8431148172399288,0.39195880070983763
27,1.9380723869033094,0.3894039051487847
28,1.8943054085538844,0.3708269720342114
29,1.9255244434333183,0.38678605859148535
30,1.6565721110428258,0.35717031527382453
31,1.698149474796988,0.3475680997877069
32,1.6834632443025221,0.33172955619611283
33,1.5809768956572767,0.2974968252045487
34,1.465241256983522,0.30368265240006775
35,1.5327006076660792,0.3098185664886754
36,1.36080925350144,0.25762846235528963
37,1.4041999720928138,0.2512275830437169
38,1.399475826444282,0.23998542469659498
39,1.3150126720953004,0.2167455645601789
40,1.2908177872119382,0.21626362288918724
41,1.2697047844508371,0.21318030501251178
42,1.2822515230794171,0.21440700505274793
43,1.2533572043058525,0.2146454941697723
44,1.2637158362820575,0.20010061003973792
45,1.1190082735081246,0.1792161430835972
46,1.1996387148197203,0.2007754784694263
47,1.2186206748669928,0.20114541084466828
48,1.0811539160906285,0.18861895327708617
49,1.0675581730024037,0.17819267088522164
50,1.1024789063988825,0.16898276095705358
51,1.0548570675531537,0.1773041824847801
52,1.0901212489962597,0.15694441139043788
53,1.0638551802653182,0.16899036500243436
54,0.980852192069228,0.15183126968612354
55,1.058570952572039,0.16174937754559895
56,1.072776381947888,0.1616427305151878
57,1.0874999148177134,0.1582959656252031
58,1.0147933062491232,0.15351809936551158
59,1.0883913161487115,0.1630334795250795
60,1.0574463570598276,0.16172333282704926
61,1.112248666520473,0.15396634509994084
62,1.2033665142947947,0.16936083681003625
63,1.1912947500065936,0.1575470707909098
64,1.1356045164246251,0.16723589562655583
65,1.0939496541990679,0.14859805023329878
66,1.105192367033111,0.14054269968947852
67,1.1038624927262384,0.14317538465483462
68,1.1289403904923445,0.14391526385533246
69,1.0632774380150447,0.13301378535006103
