sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.483178604601941,4.937363591959417
2,4.445621149730527,3.1725348838918497
3,3.9121549055378124,2.369930676950446
4,3.94030400625018,2.0640609728571815
5,3.8640869444533523,1.6115017190519683
6,3.201938767291279,0.9687312634904627
7,3.078313133751479,0.9258021757571789
8,3.283689093638237,0.9309880745375448
9,3.371637028840096,0.8697682148422857
10,3.983873056981234,1.0684239016347108
11,3.7690552259132835,0.9688612660273244
12,3.981753138123995,1.0117744057533598
13,4.239514221454422,0.9874811660362971
14,3.998025976371522,0.9703050687353514
15,3.4439673455952255,0.7811111346430438
16,3.25402877359277,0.7720767439516611
17,3.32015192243463,0.737279137531333
18,3.307840042592498,0.7579797353755385
19,3.3226143483835338,0.6971384480959888
20,3.2263385142563337,0.7134757149002443
21,3.311753864396543,0.6961908826908043
22,3.2563838648506747,0.631725935833015
23,3.3027784687430626,0.6615096051401025
24,2.855996404884496,0.5181761657318917
25,2.8968278242507206,0.5297700890283831
26,2.6043770577162513,0.4942905260035675
27,3.477906376273106,0.6121961429054432
28,2.6133298888607266,0.4410425740956537
29,2.9364613591457407,0.49063650352206223
30,3.370577306341751,0.5234218710342726
31,3.448584179873715,0.5739010148911303
32,2.824063172983487,0.42119838807758747
33,3.0833582653272935,0.4482432431285898
34,3.0307810566071,0.46814618377572237
35,2.888136887894008,0.47535907470807054
36,2.5214281943466776,0.3534225300940707
37,2.4768185001416114,0.37870067365644977
38,2.604997844917844,0.4354927068252291
39,2.3289760004237285,0.3502633651972024
40,2.371500221799066,0.35030145391028383
41,2.330311382335051,0.34239285826251253
42,2.4100162466468524,0.37795477651734155
43,2.261019511080716,0.3509045694414746
44,2.471345662316963,0.3697688531652739
45,2.4689781988281894,0.3331456355955107
46,2.3701664628820756,0.3661896387463988
47,1.4857308327226153,0.21687732441315274
48,1.6336482504721395,0.2517811610190666
49,1.5717776001320576,0.21564405060099326
50,1.578312796833884,0.22744572770028504
51,1.4414588960809818,0.21116658688056028
52,1.3167064087705929,0.19596446313713614
53,1.2993072879189849,0.1902505670976044
54,1.320989417329848,0.17620105667674768
55,1.207104693307117,0.181041304615436
56,1.2390559100650718,0.16835145228127385
57,1.1624323053515295,0.1511680457548863
58,1.2057288903968428,0.16526853029298
59,1.177459970916876,0.15720738585312383
60,1.1653287261729044,0.15978107650291404
61,1.188353974731945,0.1574839710190193
62,1.1423821429779117,0.15207944525191744
63,1.0932103856127628,0.14081221987989773
64,1.1471789827784526,0.1427485004977974
65,1.1459262092164493,0.13960634050917808
66,1.0745477202423677,0.14812372048197406
67,1.111516179988236,0.1460101578077399
68,1.1461058617986037,0.13765835741427151
69,1.0973864025309548,0.13679626573454043
