sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.3955531944186808,2.6536860951780814
2,2.4850879648721587,1.861852469011468
3,2.4180290367254123,1.4635574519706631
4,2.1951080871750652,1.273141574537937
5,2.236163469378033,1.0144159368744214
6,1.8202244294810477,0.8331862173993111
7,1.868646676084942,0.7333952716965118
8,1.734012875148934,0.6283229107192831
9,1.730912815375128,0.5854610775892873
10,1.7924327556804411,0.6153008751660605
11,1.8892916036189855,0.6507032943505862
12,1.8361229131161696,0.628716883314251
13,1.82041731260772,0.6059467004958404
14,1.808757840696705,0.609717548756873
15,1.5303682351784882,0.4983785483947167
16,1.4851922410980938,0.47613896745059825
17,1.5334445610563292,0.47087174260596315
18,1.4047369885445078,0.4520041513321677
19,1.4954613240597192,0.4435979344883771
20,1.2406857294380154,0.3616141795408432
21,1.2422615479664776,0.3600001448550001
22,1.0554106822879903,0.300548549663569
23,1.0958537778083766,0.3102127097154603
24,1.0918811043937413,0.26801338771054134
25,1.0300980170315366,0.26501483076824933
26,0.990788838144948,0.2301110000369441
27,0.9914434085040532,0.23982349989839047
28,0.9015882570168418,0.23062024534320688
29,0.6537903851341856,0.17541967983022472
30,0.6669917548976,0.16641567702162535
31,0.6990671802982967,0.16287011706118285
32,0.6199012426990482,0.13823072939617173
33,0.6679543901270427,0.1480576459599854
34,0.6947975916942072,0.15816379773516434
35,0.7110545727455096,0.17875817050816267
36,0.5715251503209535,0.12563924990500322
37,0.5942696803366313,0.118760962986944
38,0.546546578063787,0.12155551593598399
39,0.5499626646247484,0.11124199927338783
40,0.5252777473498881,0.1154982007242825
41,0.5300785693072939,0.12112048074120699
42,0.5237360845760807,0.10900023422602541
43,0.5276173695432332,0.114790057024812
44,0.5820438053325688,0.12146707991149873
45,0.537777134895742,0.11776176314724081
46,0.4832951558131975,0.10653205521491609
47,0.5321630930678801,0.10382405402493018
48,0.48285587781729294,0.1087307656281906
49,0.4709985187510002,0.0934622914696495
50,0.47028578690114975,0.10059719954557042
51,0.48244523751003704,0.10379785894858153
52,0.4576370522785445,0.09654127490561408
53,0.5047705984374139,0.10222879218310627
54,0.46594607635692953,0.0959229200986073
55,0.4890894171330893,0.1027710032038732
56,0.48630243997668876,0.0933621500168168
57,0.5029445897786532,0.09646561878003262
58,0.47530902395496233,0.09202162437526971
59,0.4919546786845901,0.09522428275272726
60,0.46729666257940955,0.08672604639353443
61,0.5067459593676643,0.10017209965529879
62,0.4527719983467805,0.09024995574096596
63,0.4443421463578918,0.0758203457307138
64,0.42911191420700545,0.08053108888813616
65,0.44921791475552497,0.07953054857637916
66,0.46820093541499586,0.08213207877723608
67,0.4501873386820991,0.07770305890348972
68,0.4618919454228924,0.07519251608494372
69,0.4477456633630797,0.07623350106326997
