sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.1764086670493965,5.4132960224119175
2,5.644074675354635,3.7374095042183835
3,4.984225870840495,2.9803566712637855
4,4.808073694551257,2.559456039123234
5,4.537630975863234,2.2837971860592985
6,4.364914069849923,1.975613126896348
7,4.285011712209671,1.5141826860024
8,3.9392955183363747,1.3143520154797432
9,3.774371274726777,1.1174134125938393
10,3.438211616580987,1.0156493413260885
11,3.2868419279302907,0.9907177868545014
12,3.398744605930778,1.0356373358883646
13,3.4062429515927573,0.9841157980170383
14,3.3882875651818467,0.9720402221995167
15,3.14502233018554,0.8872247238378578
16,3.0039346735343337,0.8406369375194191
17,2.8898545282463006,0.8283534511558452
18,2.865545837532997,0.7645803977731004
19,2.8047106258066705,0.7544659788266928
20,2.8666642745828224,0.7674569607357362
21,2.855838387766911,0.7582707422031644
22,2.542058472219549,0.6203522579710341
23,2.2418939201699666,0.5696451879812082
24,2.1266622793280052,0.49712905563133836
25,2.081094007035952,0.4319210511045576
26,2.040300719804176,0.4253499068771051
27,1.9210554723696676,0.3919352128167749
28,1.6705857265906912,0.3296933690718595
29,1.691634083492784,0.3243448466788538
30,1.7213144661569442,0.33222420970888583
31,1.7047300642101697,0.32914592027008427
32,1.652374282186643,0.3104661787611478
33,1.6179542888581717,0.30486203552074403
34,1.6304093293671853,0.3172842274249324
35,1.4321917868929164,0.262618092215176
36,1.4095606330488242,0.2312640958723806
37,1.4367741302629118,0.2560826314659822
38,1.3517256739351808,0.24074778475570607
39,1.3759666119121376,0.23231989457232569
40,1.3783770670071211,0.23135614822837247
41,1.218178674749091,0.21006882904602933
42,1.2461916364468035,0.18376908175565146
43,1.2165779547809425,0.19522794309188857
44,1.262450701397658,0.21439392855546724
45,1.1278679581498066,0.19959053861117335
46,1.116626729459543,0.1927829739415467
47,1.031367865071377,0.17576930554589637
48,0.9949845245478117,0.16509304371087488
49,0.9729955723970753,0.15259493661927293
50,0.9570068899895706,0.14609852272243962
51,0.9699793811882998,0.16379051540011075
52,0.9598134307966826,0.16076655436036003
53,0.8718608098831594,0.1366042955200679
54,0.9695127934217318,0.15811204392022374
55,1.0020359647483381,0.16606744314605698
56,0.8844325458513269,0.13691802951004547
57,0.8406225620148833,0.1346661400777815
58,0.9394863457172232,0.15140244258616467
59,0.9002813349710234,0.13531348932206694
60,0.8898319734371127,0.13599983137112776
61,0.882012818939139,0.13240548069352623
62,0.9247499489888249,0.13800058145117988
63,1.021722111047166,0.15536536481347307
64,0.8057419498163295,0.12347492895787959
65,0.9618577104533542,0.13888836256897338
66,0.9054149494680607,0.12961403155188853
67,0.9359579758704795,0.13085048573832062
68,0.902193513406995,0.13075779079090571
