sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.22348044924234,5.434033194069437
2,4.988133359063337,3.5170964741030164
3,4.304237751683672,2.5753917100847343
4,4.517832518542211,2.302044999367122
5,4.387999420877804,1.7076615478525867
6,3.4550284959068347,1.0166948703029772
7,3.2121118190932436,0.9779231698879158
8,3.383104144677523,1.013490237845416
9,3.538197489634259,0.8906973132821658
10,4.330816167358332,1.181726878828422
11,3.9729684141340504,1.0541665783451313
12,4.1616676008657745,1.075431495681143
13,4.46440052462225,1.0444601220996284
14,4.1768938315221265,1.0396364160153804
15,3.7051118335300224,0.864109511695741
16,3.4215383987612,0.842760529343674
17,3.6397832130132834,0.8150988742816452
18,3.3874323602288063,0.817764192558974
19,3.6785541617478215,0.7823204740933634
20,3.5285612131638446,0.7851927393738244
21,3.5635633912973965,0.7741285572434627
22,3.3494506364771626,0.673684242611547
23,3.5152507554185037,0.7367470841724163
24,2.962672557520989,0.5431814498900454
25,3.0273888719415516,0.5570487284761526
26,2.8337813815128086,0.5463794178579143
27,3.3096926481701003,0.591351193239126
28,2.653608474702298,0.47862895880518386
29,2.991132933595791,0.5325592112953476
30,3.580177028728852,0.6064924676849872
31,3.451828836987269,0.6083424866026739
32,3.0636502198532782,0.49858388055254793
33,3.106580872792806,0.48949323524252747
34,2.80831273966759,0.42295429763829323
35,2.9486749288348424,0.5003551544352618
36,2.7976306007642244,0.478860241356577
37,2.7923113571660876,0.4582455009093089
38,2.592112127051034,0.4333568811536154
39,2.5873435991023417,0.43004102820226214
40,2.4264136400292298,0.35714339379231635
41,2.716473936402552,0.4264880685151909
42,2.4919909214828655,0.38762596384828296
43,2.4804835306158077,0.38588675162665315
44,2.3695178570181867,0.3548808140362249
45,2.543677269597398,0.378366591845844
46,1.8959848552116103,0.278459628510324
47,1.7502426272778788,0.2734612771993619
48,1.7311888567245168,0.26108496721634056
49,1.6552993275229413,0.24939239484347012
50,1.4992628344109447,0.23520346043077928
51,1.473313314718019,0.23499308194754923
52,1.377700346589231,0.19966681438116204
53,1.3559197658117,0.1855229300300932
54,1.2990959809434008,0.18001137336349382
55,1.3146615146051206,0.1740078779919902
56,1.1201138093986296,0.1500316234911031
57,1.1325842249842875,0.15297620215276103
58,1.143993195370697,0.15419508839931972
59,1.155060691386052,0.1558612207854968
60,1.0443653655446379,0.14214870625149306
61,1.081768090817766,0.14488897657619093
62,1.1116739954955486,0.15670169394922745
63,1.0800605857377925,0.15343275776431778
64,0.9712199006484243,0.13563039874496027
65,0.967798663988605,0.128111391023439
66,0.9063250557834924,0.13265039945079232
67,0.9447046232745399,0.13416416484064445
68,0.9266454332476923,0.12647323981799802
