sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.364159245846519,5.032240458928986
2,4.79313343200545,3.361500112633633
3,4.852099094043427,2.6216730137179796
4,4.205265878759107,2.1545045995938366
5,3.736233447934194,1.7271243676431005
6,3.401792255879149,1.6397957198460096
7,3.3562999387632004,1.2715263903521006
8,3.253052499496917,1.1238854516960288
9,3.0280044812220233,0.9750425802816499
10,2.5692350042382035,0.835815763901654
11,2.8815770088966395,0.8034529372397227
12,2.6546132256423967,0.772555076580103
13,2.874813338816579,0.7872863375027226
14,2.799403282921984,0.7746163653153475
15,2.5362440448640977,0.7159083813876331
16,2.3938994106677898,0.6923077338503191
17,2.2656081493534366,0.6665050811689237
18,2.217455802124758,0.6583064451588386
19,2.4435190593871723,0.5979153936959389
20,2.3510495986374806,0.6028998930267706
21,2.418488583824467,0.6098240206884434
22,2.186976248898011,0.5541853103549085
23,2.302642222823115,0.4773253438063326
24,2.1604425642835587,0.4650948637790678
25,1.9104812299610574,0.4405798162390452
26,1.941607753478399,0.39092265892696565
27,1.882374249433919,0.38525156139692984
28,1.828952663876605,0.37022748082110885
29,1.7079798938600954,0.3748987100871547
30,1.6687544949348887,0.3451102553728187
31,1.6457169401105272,0.33611364141936184
32,1.5850673156885842,0.3131951323122566
33,1.5492659803531166,0.3062871999213223
34,1.5661571463479016,0.33437117085577683
35,1.5091815684025356,0.30818804123213667
36,1.4954791648033783,0.3015928180318514
37,1.5008569577105837,0.28151465821677585
38,1.4622888414447626,0.25646496238671357
39,1.2979326392249184,0.2057029849767586
40,1.0757915037567714,0.1667024591920793
41,0.9566689670635922,0.1650000508643691
42,1.0863567507792944,0.173735847240374
43,1.0840810448816562,0.18153689071165868
44,1.099798538111838,0.17295128990543376
45,0.976496299186695,0.16690669387374935
46,0.9622758073129998,0.16011062179574137
47,1.0189839137686934,0.15814644821280713
48,0.9975851298553647,0.16346804323724562
49,0.9997260151221227,0.15421537460409612
50,0.96775432944229,0.15986674455812153
51,1.06416366451139,0.1803631139626364
52,0.937826114557526,0.15143400510548893
53,0.9168439240421407,0.13647131806073481
54,0.9092347928597707,0.13604023549124938
55,0.9250587098040537,0.13658883748497924
56,0.8825830244635078,0.14272288012129547
57,0.9327037922651904,0.12309662379545205
58,0.8671047497615733,0.12202804756049464
59,0.8759462318652128,0.12699170319069136
60,0.9216690897861627,0.12977456993226633
61,0.8832445228064744,0.1216944874650472
62,0.8655388629079063,0.11942694272992796
63,0.8388689432340446,0.11333259677067052
64,0.9296243312558887,0.1236679240726371
65,0.8725039907181473,0.11415255599925443
66,0.9041049001613707,0.12272186469822016
67,0.8291723267209555,0.1082767939876101
68,0.8595560522381189,0.10729556670445618
