sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.503703420734128,1.6482029443697905
2,1.3629499841427426,1.1577842081198886
3,1.2952814716067353,0.8501953765103588
4,1.2232764553498534,0.6396575125472458
5,1.2109400164802444,0.5842412673522034
6,1.1401403320587358,0.5560642931682492
7,1.0374520145425563,0.44778851460782804
8,1.2307479246213153,0.40116159582453964
9,1.144194293590057,0.38149331238742085
10,1.1806985114904087,0.360113785116987
11,1.1274194641475879,0.32954218589597645
12,1.0997827847167783,0.31619131669670614
13,1.0439493596237435,0.3059339242175548
14,1.0902628071672895,0.31164642513424506
15,1.0101635717555368,0.2957513589506926
16,0.9918275040302472,0.29180109490597317
17,0.9997211069015678,0.28089142424755426
18,0.9223145807008415,0.26033586993420516
19,0.8898981304548086,0.24637547313617855
20,0.8216791744779486,0.22535182766473627
21,0.7815641131789655,0.19093899128291011
22,0.7047267607283815,0.16621960083317677
23,0.6642503300571596,0.15900258724559246
24,0.6597692895340651,0.1664991758153089
25,0.6247693262124133,0.13975471105932133
26,0.5942753588394645,0.13502601327632835
27,0.5685791886500419,0.12721285043325897
28,0.5952868232020943,0.12650698440047292
29,0.49232182390981916,0.11096651594136804
30,0.4462342048152698,0.09531652696780496
31,0.4230440763029971,0.0902648124536962
32,0.40211331404568673,0.09248356615879737
33,0.3974644944404846,0.08872774767412471
34,0.42749123488110596,0.09225769362641302
35,0.447578585305327,0.09570539987014562
36,0.4234123840424443,0.09035469777181698
37,0.435634133750556,0.09564730351893844
38,0.43151311554475735,0.09256337927890837
39,0.40851084750760186,0.08786816779758191
40,0.41512061776783327,0.08963887086533712
41,0.42370487664093415,0.08557200589494066
42,0.4272229203782021,0.08783070176658185
43,0.43821787277481006,0.09517444139684829
44,0.4148922270219185,0.08671689314917305
45,0.3530009276918698,0.07761909451583283
46,0.37810008436612164,0.07501691658009417
47,0.37385448331669013,0.07782808825519523
48,0.38521574359212163,0.07552385291490013
49,0.3827709242274321,0.07238032589114578
50,0.3955106837548169,0.0806413248456539
51,0.35767616666406954,0.06512653500545067
52,0.35854043233111027,0.06708877538068227
53,0.3560920682424551,0.06786388430033075
54,0.35302253290907537,0.0702765284512544
55,0.3878578008677703,0.06880748644740504
56,0.3712844936776718,0.06813469911269439
57,0.3799653449286146,0.067722688355712
58,0.34666499067008905,0.060286839984588066
59,0.3713746841839719,0.06416151537239669
60,0.34250451300510576,0.06265062582021384
61,0.3704516536875143,0.06080358875108953
62,0.36728670957783544,0.06374779809567414
63,0.39473346690874583,0.06654901807089372
64,0.37980529252297257,0.06255714629097518
65,0.3995477625063142,0.06294940405082446
66,0.3736288576909494,0.05690090633309318
67,0.3950242148752654,0.061012465405398925
68,0.3941353128657544,0.06230020926265137
