sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.7473659710054905,1.6855131669096546
2,1.6916075614530754,1.0976683658414448
3,1.6391738400759213,0.8812275979373867
4,1.5807382680484892,0.7471747097421809
5,1.5353868834478988,0.6622349993553096
6,1.3328255053893978,0.505927667536124
7,1.095100073830792,0.41741233285558677
8,1.0104865909367557,0.3759954555866279
9,0.8984220338887684,0.3364520793632959
10,0.8514664690163685,0.3100107751267586
11,0.8301603356123589,0.31451102032378353
12,0.7559364169312571,0.2734324149945092
13,0.7363854798240105,0.25279098588836274
14,0.7205027242824011,0.24733345553583613
15,0.750008983945539,0.23630584752413708
16,0.7587814949355306,0.2367254331622879
17,0.7006528617566128,0.23104609259710557
18,0.6748721320080192,0.21063779650820158
19,0.6510960317609967,0.19906548625835843
20,0.6498500693831211,0.2007471281402151
21,0.6588022646273458,0.18542302175713649
22,0.6497168214259453,0.19018279569485125
23,0.6448371476869702,0.18188496638010793
24,0.6238489850044889,0.17460650820185764
25,0.5898699107049349,0.1486236213699179
26,0.585879917208232,0.14428688580589483
27,0.5699272594926834,0.14321035690490236
28,0.5884363846725664,0.13606719428792508
29,0.48345060180353344,0.12006702450857766
30,0.5355348848659384,0.12285644046492897
31,0.5045687851179733,0.11864064614454896
32,0.5354011222402028,0.11814165815710334
33,0.4890639399883441,0.11071321103546142
34,0.5265062812458357,0.11596192852925771
35,0.46678908390378876,0.1098916809046121
36,0.5081601824828733,0.10430177180673074
37,0.48296368331532435,0.10325523478511803
38,0.5025979870826278,0.09822860338665734
39,0.5003704380880488,0.09818273231167593
40,0.47164762541679606,0.09951204388869428
41,0.48418941044698705,0.09987322431314552
42,0.5037220766545787,0.09918829982412564
43,0.4808292050242236,0.10080790939620923
44,0.4827500497813798,0.09583802394161563
45,0.5045178171353397,0.09798240073074053
46,0.502578744684252,0.09495301397171708
47,0.48099969562420997,0.09381137103922615
48,0.501390500948044,0.0901091955750613
49,0.4807680904386639,0.08811502480855596
50,0.49092971995886203,0.08967665413272008
51,0.4673281505348081,0.09196101879008567
52,0.45207292129742893,0.08547016816429873
53,0.430723987288777,0.08172489042194996
54,0.41162861540526485,0.08043986089568568
55,0.42265839474079075,0.07934912537766851
56,0.42319598141102505,0.07774426916793321
57,0.39946116144966687,0.06821469175577236
58,0.4140348418728483,0.06843694544410586
59,0.39790927060635434,0.069685694242599
60,0.40826563117710973,0.06729251396716858
61,0.42270574892021057,0.06580051495066687
62,0.41581339735658274,0.06686085042580624
63,0.39894560301749815,0.06482778859889177
64,0.38492926303673364,0.06018537441239855
65,0.3780184599738668,0.059529534388409175
66,0.37653009151427413,0.058604832875194184
67,0.3898107413975401,0.061086759950308094
68,0.3869166660202488,0.05947412674940835
