sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.7766996808454036,1.7188042426691519
2,1.5061812108587247,0.9877618298207964
3,1.4938269906614652,0.7928204343915334
4,1.5629648845066009,0.7616613516775441
5,1.520878568912663,0.5913693781996339
6,1.2389642258236975,0.5686219145014049
7,1.1559360869804933,0.46276677486809603
8,1.0885626876069812,0.3656714672943282
9,1.0503203512158776,0.38524440368515717
10,0.9770298134665034,0.31375706555483174
11,0.9275778630655435,0.3307086471289474
12,0.96587928763272,0.3303959687284269
13,0.959308749992644,0.30035410517486427
14,0.9880522398201764,0.3226162203770132
15,0.927544600406057,0.298983139457472
16,0.9166061313620936,0.27768086248412827
17,0.8560709451405907,0.24468455095180483
18,0.8292047443214284,0.23714022920349032
19,0.7730451812930689,0.23633078396240662
20,0.7766070727854745,0.22495579575810054
21,0.7939752652602656,0.2277455436101758
22,0.6972727248639885,0.1818512311938521
23,0.6806087199677285,0.16706566863350245
24,0.6115876106132462,0.1470295190912741
25,0.586360084168012,0.12916831458443875
26,0.5846395548026166,0.13230801891750663
27,0.5543918685267362,0.12012932669572661
28,0.5828905010752715,0.12298904281225927
29,0.4768893169043327,0.11277542444088325
30,0.48019832014502684,0.09849766361605283
31,0.4675721839770454,0.08950088348348213
32,0.44507904730264086,0.08407033313442441
33,0.41776950059627144,0.07914891368870056
34,0.4352732226971647,0.0790506059332942
35,0.45530512242007753,0.08294217453036935
36,0.45150115304526145,0.07916251645958901
37,0.4351648955201344,0.07626088845618223
38,0.4185743080462256,0.07213530467271383
39,0.4422774829023426,0.07201505250958816
40,0.4362806176133702,0.07214338236264964
41,0.46272042795695906,0.07859279768002278
42,0.4246458239778207,0.07227957655063214
43,0.47495753953078457,0.0789998127234209
44,0.42305240899473756,0.07517415685276893
45,0.42555218119706106,0.07523860240752128
46,0.431242509775176,0.07697426951483495
47,0.3817869416547792,0.06954727448382378
48,0.39972240079321997,0.0720726778121249
49,0.3701097784684639,0.059596411086098526
50,0.3891814795993462,0.06512396775037008
51,0.39393773654629627,0.06427136917751936
52,0.3795537287210028,0.05991070381334221
53,0.39011848433706225,0.06346836743540611
54,0.3715585173863925,0.06048476507993079
55,0.3632305285804453,0.061028624205403566
56,0.4077598343734349,0.064268121901403
57,0.3784572213515623,0.06138995155709423
58,0.3683276627623656,0.06143238186268752
59,0.36764983189918815,0.06392343212806612
60,0.36291352497384927,0.05879205609065461
61,0.37041560432280213,0.06133780375972296
62,0.3759731771731761,0.05650788740684056
63,0.39391887458490127,0.06281207461950614
64,0.421551899742141,0.06541612039028691
65,0.3991724670081475,0.06104018552833974
66,0.38518857963098935,0.05964850084511164
67,0.38762617027297813,0.05944568882907766
68,0.39040482144158506,0.0605877550359523
