sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.3474829609488526,1.1907371763530707
2,1.0286677463580831,0.7159839988701779
3,0.9928193577567903,0.5087763217799721
4,0.9205818689473368,0.42253055678732826
5,0.7673782788757494,0.31057050775516193
6,0.6810223859699669,0.27822482806333215
7,0.6737763752398988,0.23965542013278604
8,0.5888930451335078,0.1881531158756972
9,0.5868771136278098,0.16072107549215656
10,0.5671267021325905,0.1848977989626116
11,0.5957066442601127,0.17543212248429563
12,0.5715250790035756,0.1638778833508586
13,0.5983951763458444,0.17276698821402586
14,0.5719871469090174,0.17327540319515536
15,0.5461449957546671,0.15516636123045596
16,0.525631433159524,0.1533048379746077
17,0.5313085063050468,0.14957646801496216
18,0.537606126942783,0.15142588901735143
19,0.5057286969632555,0.13584530382693322
20,0.4956151818567342,0.12462047185412654
21,0.4493605047696659,0.1112982112769351
22,0.43102451444315465,0.1058824108934639
23,0.4129137462996315,0.10353265307617603
24,0.41546820955422836,0.10265140988725872
25,0.41051949247028446,0.10041585707228975
26,0.3867906343535941,0.09490107844130648
27,0.41908902578286156,0.09617980283866864
28,0.3778897673334797,0.09035002899823813
29,0.41894567602009697,0.09155251733480561
30,0.37133835443446145,0.09098295171134779
31,0.3620908821057281,0.08391948493628314
32,0.3704583342922813,0.08700224993512486
33,0.3692829465098808,0.08806122288012834
34,0.36827237117048395,0.08095638869614959
35,0.3518239804736002,0.07306666487304514
36,0.34520505213634645,0.07116655745287183
37,0.3322734079930491,0.06517174434541381
38,0.3402611059185014,0.06608741011360572
39,0.3752767937237764,0.07172935263179078
40,0.35026027129384796,0.06671874784965984
41,0.37236306239172035,0.07436453464630818
42,0.3520406253324418,0.06318594515867335
43,0.3514166377284313,0.06474596694251784
44,0.3803280084150426,0.068391618988104
45,0.384131394136201,0.06637465583303864
46,0.3926086890375676,0.06637217598725077
47,0.37098087611938135,0.05989996857854368
48,0.39548007200723717,0.06312942399566962
49,0.35049893042931934,0.05872052094119068
50,0.36989361258785536,0.061206515404881943
51,0.3474285680650157,0.05961433914878946
52,0.36165568428858774,0.05905113789270973
53,0.35349571225463816,0.05662916245561457
54,0.3616110554066514,0.05874630236921752
55,0.34747376962292087,0.053311641096598875
56,0.354910248444536,0.05825566804974936
57,0.347488667522562,0.0541669685736436
58,0.3475541241081479,0.05235065492221463
59,0.3517434297532793,0.05507276884465758
60,0.33471182564316565,0.05248495360981513
61,0.3378888166775264,0.04927769406471706
62,0.35261153503138004,0.051847489903845155
63,0.3603386449975068,0.05131268937739743
64,0.3493004919244559,0.052522136014236415
65,0.34092559587781274,0.049329788256526126
66,0.34238487476384566,0.048482581098009576
67,0.35338859479366086,0.04759941484589606
