sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.514930602737508,3.879454496767138
2,4.557768455074694,2.9162857082956744
3,4.232194208265297,2.0738941354438984
4,3.685779804179804,1.461243047453294
5,3.708704771683804,1.394484515030949
6,3.4036306243021035,1.324820778223601
7,3.207870277190396,1.2222950314737597
8,3.087540166660685,0.9950868590841441
9,2.8623680101485305,0.8401326379914075
10,2.6075634232852,0.7614960091380283
11,2.6950879397111325,0.7664509324996318
12,2.5034395464101014,0.7764474313877949
13,2.4422794518925857,0.7633728894697073
14,2.378674933083005,0.7342202908860339
15,2.130832969917352,0.6561785160829011
16,2.0950444478081462,0.6780854078652
17,1.9398782078099106,0.5822511362196178
18,1.7716185357697498,0.5485842043696906
19,1.8863884830727167,0.550103039349519
20,1.7444965430996944,0.545004494240398
21,1.826506374679482,0.48494325056210846
22,1.6639050429793014,0.3920056649696126
23,1.7489994681884018,0.3950155621459258
24,1.7965334622919271,0.3641170035160867
25,1.650587730961206,0.3427339925173711
26,1.4558368832943687,0.30977452121690824
27,1.4258760292327215,0.30316539419056676
28,1.3554023867110538,0.2787844944111486
29,1.3309930563824726,0.25402885792270496
30,1.213911001319452,0.23918630588005327
31,1.1914047837515043,0.23620607782767675
32,1.2421149250143624,0.21370785276796195
33,1.1941354371696937,0.23265037965003116
34,1.1778293908912159,0.231342175472415
35,1.2255889024072133,0.2553649288016588
36,1.1604315313584306,0.22524894002457854
37,1.18718656681217,0.21908334078755168
38,1.2292339291579704,0.23641766207932344
39,1.1533494874797288,0.21295275049615708
40,1.071429086651226,0.21875065927564893
41,1.0873629006209347,0.20836612878312077
42,1.0572745793605294,0.20690505166137485
43,0.9922391412356774,0.2014241862269551
44,0.9149784319735125,0.193618591255675
45,0.9043667900066172,0.18859069922211097
46,0.9221432759227843,0.17869517546000732
47,0.8853506923108058,0.17376688928059744
48,0.937421490220914,0.18755497060403392
49,0.9161743286981628,0.17956284542010792
50,0.9013225185764278,0.17687132150826085
51,0.9120844450205461,0.16624295581679865
52,0.8306820310585364,0.1591616933824386
53,0.8617595740059312,0.16860897526519789
54,0.9025967359330795,0.16950675030191661
55,0.8898531095405243,0.16662701394981205
56,0.9161776737631165,0.16496595616408316
57,0.9678983610115909,0.18399743348226152
58,0.9543178767131936,0.18043974367318438
59,0.9744391343385885,0.17345858206280843
60,0.928542199011053,0.17032740348672076
61,0.9111127340355244,0.16438367604845452
62,0.9497983294384676,0.1661031113153697
63,0.8877521156069711,0.15114868658791192
64,0.9270574545860045,0.1504035625402952
