sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,3.870188129600416,3.620894199783756
2,3.50012520712911,2.2916842148231025
3,3.488635907085327,1.7718079783608496
4,3.2757497654952474,1.4574590524584623
5,2.9638266309998222,1.28513097414238
6,2.7637554963373154,1.1075109338040539
7,2.70378762660177,1.002236803049772
8,2.3403460738853883,0.8533842146253345
9,2.188389414673551,0.6925803913813109
10,2.315250118573246,0.6918275765820717
11,2.379013151399672,0.6992007749011301
12,2.224809947206289,0.595233948784169
13,2.185463965863225,0.5762544386408786
14,2.140521895703887,0.5332171250670893
15,1.8832492777547125,0.4760917712803668
16,1.698547038848379,0.43148265749862413
17,1.7443291250626984,0.41174515418535246
18,1.7545600561397658,0.42812658268653225
19,1.7658308599371382,0.39048719525859704
20,1.3362039301595885,0.34815913052049435
21,1.3884542045477233,0.33699422871186685
22,1.2503191014665391,0.26593946577300215
23,1.301409632445161,0.26963114558888196
24,1.253011741823552,0.22906426708436783
25,1.141419790276393,0.21422186885698308
26,1.2242601365860963,0.22061051206337853
27,1.1788889047508042,0.21489207019257184
28,1.212723396092623,0.20753472935929176
29,0.9566809477508262,0.18040556084183107
30,0.7998665649360241,0.15638409959901511
31,0.7578319737640211,0.1557889586452913
32,0.7268671277571265,0.14510017454281596
33,0.7777858036423535,0.14741909546785067
34,0.7420725763965964,0.14227577323039353
35,0.6883949261165089,0.1412937538558559
36,0.7303012358615187,0.15642752999614004
37,0.6970901626025913,0.15002694246520348
38,0.6706441262161891,0.14257364966123456
39,0.6400300115807817,0.12942304712797986
40,0.596314722413316,0.11797978330696578
41,0.5747013608309437,0.15701648250156872
42,0.6014962450137127,0.1485011641248499
43,0.5933926269949346,0.13096303285730906
44,0.6228447383323832,0.13807489721616759
45,0.5300017819408935,0.11362874213593903
46,0.5679497609689882,0.12330168416406682
47,0.49957762833162983,0.11178233956895689
48,0.5179608232957016,0.11300399473948804
49,0.5069318973301827,0.10159485783434001
50,0.5141559480594603,0.10806459484015951
51,0.4530390195690076,0.10291025540522696
52,0.4422092429043576,0.08271180162034389
53,0.49054522111195437,0.09663770786372425
54,0.46456810560878203,0.09356903111985351
55,0.4695805640543033,0.10223189376651398
56,0.46309834859374455,0.09338298315896322
57,0.511432624560541,0.09808568332081453
58,0.4732469224107899,0.0839744872385317
59,0.47431448457646114,0.09229797422975826
60,0.4953137749041073,0.09328894634187401
61,0.4833203656653833,0.08956762714100121
62,0.512472483595295,0.08513032166073561
63,0.5027704350416079,0.09128206755761187
64,0.4657269812666976,0.07368293396385815
65,0.5268133519782331,0.08154059894024558
66,0.5379347184451662,0.08784045701426671
67,0.5247755487322298,0.08230231728324648
68,0.5290527971422371,0.08040758701746885
