sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.6085336497092584,2.849004866882883
2,2.2353113773090674,1.746660082326677
3,2.476404598804951,1.372284670034456
4,2.4766537117279657,1.0760523428489404
5,2.3279105259027597,0.9125053981493239
6,2.069575880995494,0.7412705534007307
7,1.9880845148514805,0.6843662750654061
8,1.884388517288386,0.5855629594184166
9,1.7245749535500838,0.5363540509049343
10,1.7293554657162005,0.5879929909438394
11,1.6838845126763327,0.5854958619670375
12,1.7075455316580328,0.5730977225362612
13,1.5872518578214718,0.5147006484630109
14,1.6308869143015703,0.5484395653396805
15,1.5059297759035948,0.4854616932767118
16,1.5162708681920358,0.4744152024140215
17,1.5679135040477545,0.469089711030318
18,1.4322419075846167,0.42072469939214757
19,1.4653160002892918,0.37440589178726885
20,1.3832127826119183,0.35046629688304665
21,1.413825017844328,0.364177744615307
22,1.2604914764598703,0.2924151139113398
23,1.2866276410784736,0.2859434866700572
24,1.2792525724663637,0.28225134654776624
25,1.1701191867837764,0.24802930107892168
26,1.1077259077371575,0.2434271301681386
27,1.1081143651522278,0.2583076388565357
28,1.2008295604206587,0.2584326417493457
29,0.9822504548178015,0.23407166220861672
30,0.9695856394841554,0.20601337344481005
31,0.9958857884640709,0.22177690158889515
32,0.8684231030176737,0.21091260120996808
33,0.8450759007275492,0.19335454470130597
34,0.7479682993152206,0.16135634165459584
35,0.7200428448883059,0.1491284265381907
36,0.7187686995434754,0.15911194208737814
37,0.6499827366515899,0.13819121082974758
38,0.6613170995863092,0.14040032182135462
39,0.6435801411817543,0.13703944359609124
40,0.6257184834809951,0.134653165888701
41,0.6020926174786524,0.142264175219315
42,0.6191232978963495,0.12858293862137737
43,0.6211932305226775,0.14081629056854816
44,0.5746534035707547,0.12606776646553233
45,0.5184473820052227,0.1227897193039985
46,0.49285324402379466,0.11172747181300277
47,0.5146695736098142,0.10733612049035307
48,0.5681642680028112,0.10525915271038569
49,0.5300655825435364,0.10441193066727052
50,0.522808944950401,0.10627095390906761
51,0.5422231340572617,0.09574071474968701
52,0.558264673801257,0.10967946267495493
53,0.5524550833668633,0.10252158912178137
54,0.6126507292533409,0.11689783752337979
55,0.570828533583482,0.10230472998598773
56,0.5982218776436449,0.10436526567184529
57,0.5697631746862879,0.10935008335336324
58,0.55043527151983,0.10134546804879113
59,0.6106474630488812,0.10872621886893143
60,0.600254395755651,0.10736333414058799
61,0.6486076346263052,0.11932808451129871
62,0.6020641208349692,0.10688028020281948
63,0.5976715554715251,0.111882112879744
64,0.6146324815080566,0.1007175193218137
