sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.973009249800748,2.8623812576183285
2,2.230403835481906,1.8125597566449696
3,2.13305330412392,1.4301126233881725
4,2.131894793776493,1.2366142387050565
5,2.189551996695149,0.9635977747517118
6,2.0902646375787035,0.5201130239761329
7,2.0757450604391754,0.4796776968272917
8,2.3418818093587075,0.5238178269256908
9,2.380476212149903,0.5367242012835355
10,2.9660540658759955,0.8114758071413642
11,2.7837389927584937,0.7443790025979652
12,2.9587127397186843,0.7848784939212623
13,3.034741753126676,0.763412431932425
14,2.9275549475673666,0.7479253896309762
15,2.6402925874518313,0.6317682025705179
16,2.5955257860227774,0.6460612935426218
17,2.5983117284581994,0.600880392594717
18,2.5142728055681918,0.6128343520942489
19,2.5832153890924556,0.5706261989843976
20,2.5334358236077037,0.5682836896821835
21,2.5326575756139817,0.5543313389408877
22,2.3753120380136945,0.48957332480349597
23,2.273602494443136,0.49471538325419817
24,2.0612709333936077,0.39487906058197647
25,2.2723981135320455,0.4459283023313114
26,1.9713397705997702,0.36099630290020146
27,2.524013956766351,0.44532226871178926
28,2.4576085914101857,0.4265822332720309
29,2.485391176204396,0.42597755137282445
30,2.494734668272173,0.40132860300529727
31,2.5443473800308,0.43602235824289254
32,1.7969136392510887,0.3132157304557437
33,1.8106964836088766,0.2942312558667183
34,1.926578571320612,0.3250737748782591
35,1.9928734003788957,0.3555027659413544
36,1.9797361672706533,0.32453550941569037
37,1.688132620585812,0.22517077117653447
38,1.8702098036808128,0.28687313369855594
39,1.7037914717597908,0.2379832518052866
40,1.8029334632322485,0.24481509920221187
41,1.675986616839289,0.24734633431894903
42,1.3470669044273427,0.20730379790687292
43,1.2756702769346744,0.20333306103847368
44,1.1676636601955481,0.182437083987154
45,1.0935110179467284,0.1739012466813581
46,0.9957863852997637,0.16090628014479896
47,0.8842630304458117,0.14176234079678093
48,0.8734333156673262,0.1361479681312571
49,0.9140879705919368,0.13376886059212767
50,0.8584761123157475,0.12915541131218883
51,0.8593751713161227,0.1394783253438616
52,0.7297228171861195,0.12477847972930872
53,0.7429586249372822,0.12581067960834602
54,0.7263459982737932,0.11882503842358602
55,0.7448789507041759,0.11856032258884334
56,0.737372916933903,0.12124213746411841
57,0.7575809852294026,0.11715231326948583
58,0.7097341129180753,0.11135009326550559
59,0.684071500536035,0.12034536362427048
60,0.6609600719751929,0.11437059574766831
61,0.6458696773219523,0.11524854236810644
62,0.6315252847895066,0.1045802869078969
63,0.6420972375458414,0.11348173443962319
64,0.5970597293039994,0.11115869491881132
