sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.4913257242415554,2.1678921256050465
2,2.4517481859261325,1.5167152671567674
3,2.2214398687731176,1.1579345605386755
4,1.9449790310619726,0.9271961096478017
5,1.932073782433644,0.8442584362845027
6,1.8014991665660023,0.7279715147995292
7,1.6484866592071448,0.6204425971810117
8,1.5561510417857458,0.5435791323927734
9,1.401163574270993,0.49803570173315964
10,1.6401960146484866,0.46552376873566903
11,1.6029717478279524,0.403865374150173
12,1.6666241758893525,0.4741278924069572
13,1.689377344657948,0.45980838326476015
14,1.728435547253786,0.45153093318572063
15,1.7056130792500095,0.44986663439282265
16,1.5858838868101763,0.441244384363802
17,1.57696108488191,0.3974161121211708
18,1.5592317974246395,0.39494810527573737
19,1.588968075679118,0.3870196172435438
20,1.5281095126987858,0.36444256920704
21,1.3974405564074934,0.3411881743801479
22,1.1817886199674106,0.3109694727499764
23,1.2613032796916954,0.32581069715203476
24,1.2138794941672573,0.2930115291922262
25,1.1764123831984346,0.2681388936303294
26,1.10018689333909,0.23872914596031033
27,1.1248767662618844,0.23442212827792008
28,1.053309166758878,0.23383857497932622
29,0.9549194473058215,0.22287360662470898
30,0.9672735016648396,0.2186871205221683
31,0.9328451163699477,0.19670585853563802
32,0.9261504264879409,0.19406710820633558
33,0.793286343816624,0.17669317877991367
34,0.7167323282427982,0.17528276021308042
35,0.759072490638298,0.18240160983439863
36,0.8009100497168261,0.1882641837576667
37,0.7558275138563515,0.17131987730716453
38,0.7776891637646004,0.18021374160684722
39,0.7221206155678657,0.16044478602138512
40,0.6526752320018822,0.16270789464164265
41,0.7079507766111325,0.17269289147531947
42,0.7189331826308372,0.16988880040108917
43,0.7026150570591538,0.1681682541471943
44,0.6931151740586392,0.16135491010906905
45,0.6614437395619768,0.1568699919339529
46,0.6391771367016835,0.15138500564474328
47,0.6349260320860465,0.1501009569375798
48,0.5905941421030119,0.15194103435169937
49,0.582309521982295,0.14239658505074154
50,0.5944093622267516,0.14233976356985395
51,0.580360440447463,0.1356056171307329
52,0.5939378835217944,0.1406642758793048
53,0.5962537622151457,0.1400305149902286
54,0.6258581151238554,0.13780843634256262
55,0.6324063559277757,0.1423801221523456
56,0.631804138275787,0.14233080997566877
57,0.5891841347121575,0.1353505096468071
58,0.5740463652034471,0.1288379130629403
59,0.5906261335674692,0.1356270853833876
60,0.5636228658848472,0.12817305243180044
61,0.5933816170241102,0.1319196313736202
62,0.5675421915576515,0.1290278569638065
63,0.5674130602309955,0.12616576354900927
64,0.5689820150312392,0.12027406856009086
65,0.58528805303776,0.1224812769914668
66,0.5444889135660156,0.1148903850484933
67,0.606645305305239,0.12552580120113763
68,0.5564493567670388,0.12219398607272915
