sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,7.3028923254430405,4.715450618797679
2,7.378640787501531,4.230703696890112
3,6.357978049653481,3.2074355808359405
4,6.909004922259983,3.062330835658222
5,6.126607402307586,2.538788933055879
6,5.765400422722177,2.2614706248336414
7,5.282809392092078,1.6449939006964232
8,5.409390735161456,1.5213743004206608
9,5.172084092135914,1.3454889453100398
10,4.817172670381272,1.2987932607133181
11,4.281080409227358,1.141832005361838
12,4.25102094196176,1.108784198876476
13,4.175355248528187,1.0899780397710177
14,4.303856480495452,1.0410249054977616
15,4.130335810654898,1.0035727298165078
16,3.9518485477166223,0.9631343963621907
17,3.851230683521685,0.9899798243324563
18,3.8107024940055267,0.9120289200935305
19,3.8577438730612195,0.9191561041685814
20,3.6889668495534353,0.8053075646624782
21,3.240598023914169,0.7170679660599256
22,3.247919043673217,0.6810922073427027
23,2.9676660476499768,0.630693024786498
24,3.1511137784692638,0.6515636352593801
25,2.8944848567660926,0.5949306475970753
26,2.901265059293075,0.5696395594822654
27,2.837050006419193,0.5688417687612255
28,2.8887470691481627,0.5575264004925615
29,2.6710301023849214,0.5199976326393776
30,2.5802080897959883,0.5068985860575279
31,2.72237308838111,0.4976954892767818
32,2.488770698785988,0.4702187768413113
33,2.233902166814184,0.42769934977044743
34,2.0012708914034536,0.37410385380982747
35,1.9102743161837124,0.34409972459298266
36,1.939469760179958,0.3287115974152935
37,1.9194930009685913,0.33732162162271523
38,1.8301765168569515,0.31404203364518346
39,1.9606208351431524,0.3289807709565844
40,1.8116394411856305,0.2946366129626913
41,1.8268482775812398,0.3000715057242636
42,1.8111591960217583,0.30776916066936133
43,1.8155599668312432,0.289588000265145
44,1.7754312405870476,0.31056906100090664
45,1.6109311593830766,0.28748571541838586
46,1.7326724242573044,0.28636445737440236
47,1.518295078679658,0.25986352103624366
48,1.5793865246731487,0.2592917176202899
49,1.561881123016062,0.26847737031003327
50,1.597140695075448,0.27982417864039083
51,1.6461252860537428,0.26886844320104314
52,1.5050121551091518,0.24992063745869755
53,1.5001681750759976,0.23095422071961502
54,1.486253048985661,0.24670864746858934
55,1.3995208991028893,0.21772905025057815
56,1.4430787173973263,0.20819577779306603
57,1.472529543985363,0.2196202550616205
58,1.3648809324981837,0.20022804550851828
59,1.5267501499753666,0.19931715681567477
60,1.3529027984420154,0.20075438332251905
61,1.3122855514033873,0.19203502291201363
62,1.3198608345712723,0.19693602583329706
63,1.3569558655464515,0.19614902276625737
64,1.4128521390952506,0.19384437247008368
65,1.4215370769147648,0.20863027768150075
66,1.4335262033817955,0.19753480356037856
67,1.4861502106187874,0.18850720301682336
68,1.4394724895706104,0.1928032707616356
