sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.450839237411557,6.529468686717092
2,5.260696988147479,3.5892664432443677
3,5.724753277410313,2.8851206269847536
4,5.745307998469657,2.270429268892685
5,5.706557320562926,1.944550600020103
6,5.560509603304026,1.8006137534654685
7,5.221856644120063,1.5692868866406113
8,4.894807305602636,1.5032508875504462
9,4.448374322612539,1.3235809689151299
10,3.9314044021877916,1.2234406457533198
11,4.292362951623495,1.2276056697961575
12,4.148488842535512,1.1907990294176047
13,4.049465939413757,1.1213547629776022
14,4.050950272836286,1.1157976878214966
15,3.8973322910915584,1.0653262785739572
16,3.8175431067283077,0.9909271356994109
17,3.77187731978183,0.9350363586240472
18,3.7132156121809614,0.9061204405029135
19,3.1578604431962383,0.7810323932457339
20,3.066708245710603,0.7515354371534176
21,3.0279908702788125,0.6393260842755322
22,2.9640653688626455,0.6787415163727555
23,2.959368569825849,0.6556384390332974
24,2.688268151614645,0.598916222529826
25,2.6291398253967238,0.5511343183013937
26,2.624594581361628,0.5638946978956795
27,2.4684886773373216,0.5138080241407896
28,2.464122940455589,0.5061563428526318
29,2.4151506911143352,0.5096119421933817
30,2.3310498661709427,0.48894156688001844
31,2.2338905076604894,0.4418419425823872
32,2.142041808808907,0.43066725883612567
33,2.2347638204884634,0.423082971309539
34,2.210032905815268,0.4548227050402471
35,2.0694624588966652,0.4254035318246712
36,2.0930719538676654,0.3973947637745898
37,2.0965321627547207,0.40796329475260595
38,2.039842853317434,0.4101314933421629
39,1.9808447646884688,0.3904483281557635
40,1.9467667893100775,0.3664210484991945
41,1.9119095611028558,0.3598289214336942
42,1.9693709521997342,0.34074724596209116
43,2.0481961825016333,0.3587061798050927
44,1.7434531226634788,0.2743594408522158
45,1.8673045546755318,0.26935519944395003
46,1.7072697828917083,0.2694369040220041
47,1.7261315527904098,0.22612179469886645
48,1.6951076035391892,0.22557067930152677
49,1.627562834285226,0.21811229114646064
50,1.721895150711205,0.2206310094261953
51,1.6899511780549121,0.22974247798465292
52,1.699787689530999,0.21910445269137063
53,1.6541769978433691,0.20791575397143275
54,1.7096658413895636,0.2078165752916169
55,1.6676629444378492,0.21157597830487784
56,1.6411925098043505,0.20486899816887427
57,1.6658927595222306,0.21108538234230928
58,1.760351468255534,0.2155075019889505
59,1.7361415235595616,0.22369042761347677
60,1.7461393102074259,0.22111073755046734
61,1.6835007047336072,0.21619181318713815
62,1.6078267412384775,0.21077537336972932
63,1.6324298654225076,0.20816546230427085
64,1.5899170390539452,0.21190058218883973
65,1.5273378807960831,0.2024783832503019
66,1.39648856205343,0.18501345804009717
67,1.4772075482007825,0.1899933217132107
68,1.4468539459042118,0.18265527406171927
