sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,8.513862183853055,6.9412599406610145
2,6.275818193283679,4.268789896086496
3,5.484997542790111,3.1508119376020276
4,5.708212204458855,2.800029758908138
5,5.621930859362637,1.9571498804391296
6,4.5945809100524,1.4039030904241507
7,4.513452243648419,1.254391414991611
8,4.740825470097108,1.4159906587302113
9,4.629473286716316,1.2589064017515994
10,5.239595162638083,1.4345114073725738
11,4.693974763860204,1.2424504143666273
12,5.2123611583292835,1.2578061635152191
13,5.819717010366083,1.288349913324105
14,5.268652168714579,1.2521465666887506
15,4.495818523210976,1.0243821901089063
16,4.06945283575032,1.0023247931684662
17,4.213679011667516,0.9465158411912117
18,4.191502517299363,0.9620233665222401
19,4.31804724160524,0.9038430145032484
20,4.0905120412353515,0.8822235509232593
21,4.1453570141415526,0.869027186859542
22,4.325312796469839,0.8331293339502674
23,4.10727869939358,0.8360880952333516
24,3.510210979997579,0.6652734187846314
25,3.512730146600782,0.6563024118348663
26,3.158133009670177,0.6383656136271291
27,4.222163463577639,0.7270399886689126
28,3.1039721449563484,0.5470800365383046
29,3.8382810932011475,0.6719351615736062
30,4.2509294853305235,0.6930320564046084
31,4.203810917250585,0.7052068089777099
32,3.6436220356552234,0.5941175622615759
33,3.601440695196056,0.5633855547754058
34,3.458283841358819,0.5487328781211034
35,3.720583651949961,0.6297549121791358
36,3.4946894118350995,0.5765881771157937
37,3.4147749939399548,0.5391298207883646
38,3.338281909099849,0.5147345995087504
39,3.711068476785267,0.5643357138445898
40,3.1565067778260025,0.47187420778978656
41,3.5327439788972916,0.5547627161155336
42,3.269872567952074,0.5056740372005986
43,3.1375312857579143,0.4682980287942415
44,3.1144215837357705,0.4480425622826137
45,3.2769676661404152,0.4502096064256821
46,2.5279577262363127,0.36381052592464147
47,2.345960866726903,0.36280587861096725
48,2.534231761810841,0.3795397645385161
49,2.504521959087927,0.39538668223054957
50,2.2787111046538207,0.3406588057957522
51,2.213168923563424,0.3191544912291966
52,2.0056431588994057,0.28888261389386016
53,1.942540533195743,0.25523149106817294
54,1.8100145828304408,0.26018217733240395
55,1.998180949665196,0.26732414604961513
56,1.713038245424033,0.2219120555790103
57,1.8084114037808126,0.22974618539599265
58,1.8162849123053586,0.23138878465627594
59,1.6717649813919861,0.21314179969933067
60,1.706714908373813,0.21444751186383282
61,1.627703815998186,0.21668275746481425
62,1.7436238171603369,0.2213633796576752
63,1.6489809322309452,0.21985584922275375
64,1.525362759931932,0.1900259191066068
65,1.5473307167649228,0.19948521904727307
66,1.5502779364206845,0.20260320219558542
67,1.4478300737420744,0.19282680448081166
68,1.4503781368636046,0.18695372711696606
