sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,7.002949906494185,6.992057835529314
2,6.49386033270988,3.8650121361263174
3,5.759970326942278,3.0965635397592517
4,5.554209317248162,2.7550566940344674
5,4.8599039165335185,2.3106505833683904
6,4.5474404799995165,2.1824892604905908
7,4.24688706016093,1.8150200088913468
8,4.085847756108162,1.3904755205583639
9,4.049462083011207,1.2148576750437314
10,4.262039131618922,1.2022877524483855
11,4.242378645713468,1.1563088781310709
12,3.6139843983535664,1.005457015363844
13,3.7494608978405215,0.9750370207779832
14,3.616114000833743,0.9543214753109933
15,3.342529656977764,0.8501415259308591
16,3.0034587966217416,0.7557785302163985
17,2.930487958566755,0.7372728299483274
18,2.7559802726412577,0.6932264105864316
19,3.0123912894896314,0.7222154024956459
20,2.9494924559885853,0.726725254122029
21,2.8468349371627766,0.6623916299567583
22,2.571610930311648,0.5777156938973209
23,2.5380820591451387,0.5024628786772902
24,2.446923653606536,0.4915706590099114
25,2.233990334020373,0.4534981288274011
26,2.303089476059273,0.44535005613320955
27,2.3029791149812135,0.4401285277194733
28,2.2857134640050174,0.4202453434133906
29,2.1937472869199266,0.44052581829658505
30,2.0097375230481993,0.4244335337103355
31,1.958817300052411,0.3834804217296911
32,2.0707609315853714,0.3873294553824388
33,2.0579055810125535,0.4019200056428088
34,1.7759415152306408,0.37539316817815715
35,1.8307221425583577,0.39358037004384183
36,1.8471495027636673,0.3749744366463066
37,1.8290296797399346,0.3913927391426888
38,1.606105832209632,0.3473384719489679
39,1.7694166387428922,0.35800798537068085
40,1.6342557835712386,0.30794303072286894
41,1.6506386394225936,0.35158725911714755
42,1.6110799407619216,0.2952068387555029
43,1.4137700143369185,0.23953447792707513
44,1.3958836340576355,0.22979827625630894
45,1.2253595714625405,0.21344115617212459
46,1.2828426215570155,0.24092048701138546
47,1.2843148142688898,0.23385709278730943
48,1.2936119836886797,0.23611528496141956
49,1.2432914584250303,0.20402622994082664
50,1.3666059477566168,0.2310114566456424
51,1.3671646680260667,0.21197317731249005
52,1.2796346186104572,0.21523436245956123
53,1.2010928032025416,0.19855401884552668
54,1.2183517539277386,0.19490826556435162
55,1.1760701656554813,0.19648037462496892
56,1.2924907607489402,0.19169505870163653
57,1.1489391661121389,0.16834453819239692
58,1.1703472915737365,0.17656344604485905
59,1.1039597041021432,0.18129671066917524
60,1.1921085079803007,0.18656419502149654
61,1.1477813651810533,0.17070774647655676
62,1.1715765755416638,0.17395298610749615
63,1.2426883928129182,0.17722453337266753
64,1.207958376298477,0.17834464503507225
65,1.272225121432525,0.19509494018316664
66,1.3797424745067635,0.20395582175158958
67,1.35820966452588,0.18634772399494876
68,1.351013054401169,0.19245623470584358
