sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,7.311048420321394,6.399123930818665
2,5.584192944629097,4.080505793562583
3,4.982137132593712,3.056568299062228
4,5.195272813875747,2.7183920426001493
5,5.0538059423586725,1.9078558913404176
6,4.060371837415539,1.3322621260381327
7,3.8803490432449554,1.278992556989574
8,3.9084726693154623,1.3293155914236816
9,4.055268125389722,1.1791914433446171
10,4.823086201819778,1.3715601721521191
11,4.363119758451404,1.214055987715908
12,4.5648540090120635,1.2410484008238074
13,5.078266254369042,1.232684173596488
14,4.93077352637275,1.2402861685008026
15,4.0675920494385664,1.0090465546767016
16,3.8239463182519584,0.9684219528066895
17,3.9414983435286017,0.9452516946502266
18,3.8045287552541964,0.9521748243486825
19,4.074373164947207,0.8979363433292837
20,3.892943130036749,0.9129872922554074
21,3.8672300157348642,0.9050554626419183
22,3.9690833200809257,0.8160990184383736
23,4.068905230183032,0.8759283241896053
24,3.68467602328323,0.6929788542577604
25,3.292871412433716,0.6520302168031241
26,3.1592311468132146,0.6721978473313811
27,3.820472466477003,0.7079708264504908
28,2.9574835229389236,0.5446406915914513
29,3.4130738763318424,0.6125707207535968
30,4.406720076648009,0.748794972693183
31,4.28357586692261,0.7489935278291701
32,3.8463307727593943,0.6360697913621
33,3.779953109766305,0.5971510465431472
34,3.666377673110383,0.5552123265077359
35,3.9093792536430514,0.6477317880806488
36,3.3522945786009215,0.5447890280686458
37,3.632150666023195,0.5833110172351518
38,3.1937227751764974,0.485505475190497
39,3.5305512661159435,0.5657194026442305
40,3.0701454292366,0.4607012452042304
41,3.3446814364140525,0.5149878431423611
42,2.895760126985189,0.4219488297141953
43,3.0823261986262653,0.46682933860867437
44,2.848990975967597,0.3933797642819407
45,3.2805787200682683,0.4693755258477756
46,2.3531682403216307,0.33007570093581307
47,2.190299093827593,0.32154629880991464
48,2.163188169268305,0.33122322293121825
49,2.1595431371540403,0.32943971841529873
50,2.0886655062888146,0.3177621809935639
51,1.8954771897694493,0.29557649607859326
52,1.876745727536706,0.274489631415961
53,1.8600803516044924,0.2727973236861503
54,1.7638937076197503,0.2594014097322977
55,1.8007284380998656,0.24884175824432825
56,1.5670684305532825,0.224408785159408
57,1.6527158215213162,0.2245364305959851
58,1.5198690051759838,0.20783502434921383
59,1.5096304232458337,0.20595586726215995
60,1.4919470525505723,0.20370956077577354
61,1.4056291108144874,0.18802047803438116
62,1.5681746616068386,0.21208539254681033
63,1.4479479532123942,0.19835844301551347
64,1.4195754191197225,0.19367424228623709
65,1.3173523696729565,0.197081015559721
66,1.303053853115321,0.1963722249621558
67,1.323628271088601,0.19246902474037497
68,1.2955857590883797,0.18698259265895498
