sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,7.2611639999606075,4.898776056612216
2,6.4260568856164175,3.3936186250954052
3,6.163575411204871,2.4069955346761183
4,4.94879601829733,1.9771483906462661
5,5.144658261581358,1.8326635423995192
6,4.383925260342798,1.4324705635409254
7,4.750775291053346,1.3887436996638773
8,4.405367546246692,1.2644844724521471
9,3.7179904897308726,1.0244420991117806
10,3.6566033150282,1.0290509797504666
11,3.3381395711417032,1.0538552543245812
12,3.3294833194388684,0.9441114275862693
13,3.206155413517709,0.8608904049025925
14,2.9717038541841694,0.844899820127043
15,2.806458819700112,0.7612858168239188
16,2.6917807836142935,0.7232008422945794
17,2.817354174288026,0.6989865808232314
18,2.8700231789546216,0.6605170850140835
19,2.8946225875451437,0.6302861100836384
20,2.798228634173232,0.5894060096239025
21,2.9028214160506183,0.6255074555175367
22,2.76409873196025,0.6276847691064208
23,2.626539223766081,0.614471315120823
24,2.446375444813441,0.5961138475880844
25,2.583917575088877,0.575871100142051
26,2.566113300308461,0.55763680996291
27,2.6055963339401074,0.5481159476377284
28,2.683452572722187,0.5325737664904698
29,2.6766392198565687,0.5155424607150403
30,2.5179161368172145,0.4819201562822215
31,2.457841671035459,0.5032224238371418
32,2.4476297124754907,0.48557857532463994
33,2.3983173828026825,0.49629157715128286
34,2.5367454626260697,0.49911899641322066
35,2.4521545319947196,0.47594871443980274
36,2.3643656718998027,0.4601714909745067
37,2.1979002449000324,0.4408371868846658
38,2.19280905688577,0.4588798716576012
39,2.2288107787466087,0.42640397864688745
40,2.0556358948777533,0.42706939035469915
41,1.9925431679354793,0.4126423137996289
42,1.8766422765172304,0.40795327831187717
43,1.8462504083014923,0.412694302446514
44,1.8805637027963424,0.40528700073904944
45,1.8761714504459297,0.37867242625739267
46,1.92076378970282,0.3978103100389388
47,1.8738497404876897,0.36484563723831404
48,1.9266843675375211,0.38317955733786224
49,1.9172996682822805,0.3762711894370594
50,1.8726924184916929,0.3713489301086653
51,1.7290308110754058,0.329541842621261
52,1.7152720800154357,0.30424841768483624
53,1.7705747865954475,0.3129504764084875
54,1.7570161562638378,0.31679840630288114
55,1.8465799126160745,0.2910859646375219
56,1.7452682868751113,0.3051819478116813
57,1.8493422595808169,0.29134608286628577
58,1.8177854007349359,0.29887836879137986
59,1.9262134612836992,0.2881431535288966
60,1.8684970181767697,0.2888877070739673
61,1.8438833923379718,0.27270417303736155
62,1.8186270730058907,0.27046375330725414
