sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.788797232716096,4.060133231783023
2,6.316186977914573,2.917690651995155
3,5.85576404606179,2.3954993134686826
4,5.123426238422381,2.2008257093280847
5,4.183083910538798,1.4238963991635383
6,4.2675935655355275,1.4525481964974076
7,4.186304447979355,1.1970859566288654
8,3.757039310274449,1.1677482532067935
9,3.7073306398829757,1.1116591241314926
10,3.550193994361909,1.0193357691589449
11,3.6822448889364434,0.8611515745083101
12,3.3866982689529856,0.8415483076300859
13,3.3249002140960746,0.7462771755263187
14,3.152926002917879,0.7381123365192305
15,2.893008057486214,0.6196157982320332
16,2.909359441896718,0.5675706070699953
17,2.845670633662595,0.596189883756362
18,2.6238028268109046,0.4977561728790863
19,2.758392170181541,0.49658027267701654
20,2.7129983495222825,0.4613390471171191
21,2.6015688008612545,0.4562823816368754
22,2.7468786344830525,0.5157219590417911
23,2.6895778630884974,0.4960828439009952
24,2.618592089420908,0.4672458569393515
25,2.5688015451991197,0.47051342889635545
26,2.6169467801784094,0.4474556165090559
27,2.6366763820707666,0.466691497975043
28,2.5042755669225545,0.38966126747239077
29,2.3137819048888515,0.3815337762262747
30,2.2861430163992718,0.38437571014062766
31,2.269936975521604,0.37076321193654915
32,2.28421336833099,0.3825796202692907
33,2.388235230991544,0.40984601605260235
34,2.442839575208813,0.3687085667235065
35,2.3395396456080526,0.3603200212637734
36,2.314321417674424,0.3587409625481907
37,2.391632979375339,0.34984943680437885
38,2.3431991629101105,0.36354007276355077
39,2.275615707063956,0.3392900237820522
40,2.2284668718693705,0.31601117301449266
41,2.241676279157881,0.3530297555624288
42,2.2021729641419285,0.3246002335652822
43,2.186148201962658,0.331143419727978
44,2.254837948209815,0.3504510263235248
45,2.2250547401292313,0.3689184721837053
46,2.151953516785628,0.3372382909631282
47,2.0653283211084963,0.3315672682336567
48,2.0742625338085574,0.3440570531146848
49,2.1055946239032037,0.3441838837932622
50,2.04303087535098,0.32112701093348994
51,2.016504817748869,0.3275656177813576
52,1.958155026971157,0.33836755268008056
53,1.9445188794263908,0.3216464756332196
54,1.8883302870982583,0.3150932972116718
55,1.7433532788502506,0.2919510972208289
56,1.810794283871197,0.29647590940641216
57,1.8820191939736919,0.2930912863069001
58,1.8809223425989496,0.29104590828795035
59,1.9607604699632715,0.29604256361103914
60,1.8815152733415585,0.288352395189319
61,1.7664811689206732,0.25865867882172566
62,1.7765693654902541,0.27712304056239684
