sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.31636322519267,4.052008531677431
2,4.457434278182392,2.504777548122496
3,4.342441970114631,1.9240786775841872
4,3.993191866818558,1.6828665446410347
5,3.416279654113251,1.2639344048671208
6,2.8058136176770154,1.0494410371251424
7,3.1002399994227816,0.8926571231176446
8,3.2814909804498873,0.8193200636829777
9,3.0775706310469158,0.74708688883231
10,2.940240600431324,0.7335743940016856
11,2.746359986063432,0.7408308575443281
12,2.7708649823127818,0.6883764414357826
13,2.580469081886273,0.6133587528129393
14,2.404053161628705,0.5108372181027566
15,2.2967744724832135,0.47889529454650787
16,2.3158567060172253,0.4936045100516438
17,2.171804983692221,0.41373175454789124
18,2.1022485851204795,0.42352469017878636
19,2.146940564293655,0.4162813630357635
20,2.123379459251268,0.3896892619259072
21,1.9457587980535982,0.3786814763917112
22,1.855501392025087,0.3789108323464911
23,1.9991671178979393,0.36004862841394114
24,1.9542413806287042,0.3529740288156384
25,1.945370938938901,0.3562669612009796
26,1.8041956770745402,0.3378604935166584
27,1.7856812665348298,0.33401419417227607
28,1.6796794532276476,0.32407391275307096
29,1.7180633776050058,0.3260456063055529
30,1.5363149817534398,0.2541344643460702
31,1.5554029851364843,0.26519341262826984
32,1.4748157080033155,0.2563241571305345
33,1.3569963602035457,0.2247640049876729
34,1.5303525587955664,0.2535696818880891
35,1.4588175134391526,0.22081478069867513
36,1.4402523212339482,0.23385699330775753
37,1.351710130665739,0.2352636146210064
38,1.3106343707235926,0.2259201735427045
39,1.2798177851302728,0.2120081042896344
40,1.3292529496320884,0.21213143819427893
41,1.3030541240513815,0.20948875712445864
42,1.3292086323735504,0.21821709693336352
43,1.1804274530620438,0.20854778471924468
44,1.1470069171119508,0.18311102948151903
45,1.103384949210655,0.18510217076194482
46,1.1178267673099884,0.19769800294324943
47,1.1616272014410285,0.19015175491442132
48,1.1634241619122034,0.19585349745916175
49,1.248820563704882,0.18681728627678892
50,1.168523735643585,0.17915946142469552
51,1.2464939711215421,0.18791328268316093
52,1.277231426416635,0.19524517105450578
53,1.17943625359205,0.17721150262681476
54,1.1886744254436281,0.18210510656261825
55,1.1593116887259272,0.16954354110459124
56,1.1298094707698607,0.17246705299980195
57,1.1688844512185657,0.17436775145903535
58,1.139708917576054,0.1593395022423397
59,1.1691600149903056,0.1728057468585675
60,1.059020076621196,0.16288161259543923
61,1.1455638806841308,0.17471931635838686
62,1.1298864506308819,0.1716879461193229
63,1.1923162385272645,0.16369430919444472
