sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.499052694127576,5.934768109812043
2,5.9636748146162795,3.522826524483318
3,5.882779710976505,2.6204569244182556
4,4.556243128904175,1.8891299806938104
5,4.184390734528829,1.3312151426590597
6,3.7196159198160452,1.3118373088127309
7,3.753766427835987,1.1807861673832294
8,4.054444012994938,1.0608875524549646
9,3.542648405977974,0.9205174577616874
10,3.8063372346011457,0.9558960458326159
11,3.805869057763871,0.8715523674128194
12,3.6108803225543733,0.8634545749883352
13,3.6749075829065254,0.8208871468639898
14,3.586209611740623,0.8448965404520711
15,3.421432387679895,0.7812046630424778
16,3.1480436328072208,0.784469088918687
17,3.1159054763139045,0.744883109828756
18,2.9887891122474244,0.7200613774124167
19,3.1778246057972352,0.6784160382922511
20,2.959716004248547,0.6646759951127534
21,2.8203630395270407,0.5842245084424971
22,2.7953149284774943,0.5689492689335823
23,3.0208923575591813,0.5932178709398501
24,3.0079079780657145,0.5730955759148529
25,2.709804681705716,0.5125371341041425
26,2.5259239895250865,0.46518065498127703
27,2.663708663711835,0.49034669443464196
28,2.5882035007214816,0.4666776804321787
29,2.4616056434006497,0.4091177298540169
30,2.4474788827577294,0.401244504854762
31,2.2972748386743675,0.41081440279555376
32,2.232492580276927,0.39805983619650226
33,2.241743232170747,0.4004180136242569
34,2.2122423063777505,0.3924168137711354
35,2.1141568562642186,0.35612763857637914
36,2.1438759981245235,0.3906734784242683
37,2.042761776531933,0.33184853602179637
38,1.9742107874949673,0.3586917000826508
39,1.931950080170644,0.3593204795859563
40,1.9247418824490634,0.35664674035420474
41,1.9039993266137558,0.3646222144407587
42,1.7710874855189234,0.3392829027763983
43,1.7712463733700847,0.3237882519858466
44,1.8213491135311113,0.33529886747144655
45,1.7136637036574258,0.311575212629934
46,1.7304673454326414,0.30484099262035336
47,1.6767079391749489,0.3095717955912584
48,1.8189671993412453,0.3235086703142228
49,1.789972399446448,0.3297008009815952
50,1.6526294686235634,0.30280161427348706
51,1.7555530618310096,0.30846814622882424
52,1.6870884856311283,0.3116974978057651
53,1.664581241517726,0.28807335937050677
54,1.7431049456637573,0.290307776356869
55,1.6908548565366024,0.267069795176942
56,1.721275308225278,0.27837033468705574
57,1.708264354596181,0.26857711326172595
58,1.665672473372272,0.25601058065987375
59,1.7863723171212131,0.26071303834071485
60,1.7812002904154032,0.2529251981061288
61,1.7731852686839085,0.2598320908033766
62,1.776855410339862,0.2502113465393772
63,1.6815298419856983,0.24471850542449589
64,1.7164302984215154,0.23466509223413753
