sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.3728277967221425,5.264134414481217
2,5.712850042583668,2.997259530687708
3,5.142153638223797,2.3130671494341826
4,4.907144798662619,1.9761521328755425
5,4.240003750007227,1.7787662131459512
6,4.135895028262196,1.5751788369017423
7,3.400255293056122,1.389873166949145
8,3.2128922593792293,1.23014589927339
9,2.7208110782793695,1.1399433546848774
10,2.8772548164071714,1.1013526594005014
11,2.6742864276569698,0.9264560351002974
12,2.542453447751704,0.8776936121187273
13,2.7298314930383807,0.8123620268318409
14,2.477351221225162,0.7829250755007352
15,2.4856089886632766,0.773148026320441
16,2.482378745554247,0.7181077622784463
17,2.3532611707760456,0.7045806204672922
18,2.4041228132073775,0.7343831334588694
19,2.2521091328209777,0.711669870873142
20,2.3684747900748646,0.6662588627371671
21,2.2033337249187475,0.6321377355953303
22,2.1952560795643037,0.6326859400270797
23,2.0658020031401385,0.6107791858381595
24,1.8766267251365807,0.5526506077255997
25,1.8646721726477165,0.5322711439653582
26,1.8574705610070417,0.4794897660698743
27,1.834096833531086,0.48584018816920066
28,1.794524574181503,0.46811599074708077
29,1.7772777154258168,0.4620586990475745
30,1.6404510922952682,0.444788057495756
31,1.598560298967187,0.451970722808411
32,1.7184426906322876,0.4439198345727313
33,1.7643068054103876,0.45409386425874065
34,1.6302361683367539,0.44575579221895617
35,1.6616906048160598,0.42888031932051657
36,1.7211833975678672,0.4375514125365332
37,1.717200678815686,0.4304403305221969
38,1.6132542012371442,0.40954499571302644
39,1.632549886224595,0.4068766221815609
40,1.5140949544832316,0.4089426749063351
41,1.5878361057016206,0.3927794625006251
42,1.5973933650648013,0.3815040723345838
43,1.5950359230802527,0.38268897087809056
44,1.5086276831116054,0.3704063772277233
45,1.558613561999992,0.31446622229909726
46,1.5518421928688655,0.30651056843687713
47,1.551464081199553,0.28940753803118136
48,1.3238990740195036,0.20710314289777731
49,1.354083090207566,0.20062960196504034
50,1.3482394935671056,0.19593713599929258
51,1.4080466326515826,0.21319385948818811
52,1.358670360191912,0.21614258194175834
53,1.276330155612573,0.20527552344691005
54,1.2698082512635056,0.20056483330585442
55,1.2864770548901419,0.21177671753143365
56,1.3437189997404637,0.19650570360659073
57,1.1666511525964418,0.15751254823206315
58,1.2268634667098546,0.16849023845665653
59,1.1887212249381365,0.166231781353139
60,1.0938682697479245,0.16707385626428717
61,1.18659632231917,0.14817415561843436
62,1.1494671003074424,0.15237890769424794
63,1.2048873677051757,0.16490223529019138
64,1.1682202297780793,0.150481158389742
65,1.1808347961477859,0.1514481405713288
66,1.0985501538205558,0.14562197662508986
67,1.1151216897458232,0.14878440741267804
68,1.0814716074460482,0.13438253546423817
69,1.018754179365832,0.12943732439480402
