sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,0.9942189644794707,0.8884517434296311
2,0.9823379827723099,0.6129823353778886
3,0.946695537386234,0.48493237264709077
4,0.9406938432591277,0.39163658345106356
5,0.83499968442038,0.31216611982290826
6,0.7600156694731377,0.28873363448447964
7,0.7009400233492945,0.2652857070158466
8,0.6864401241532304,0.2581197813979698
9,0.6309799601273615,0.21020942243974094
10,0.5744836254457707,0.19806865421517023
11,0.5740670344900378,0.20366208010096432
12,0.5564413157171492,0.17722681678681532
13,0.5456179123335986,0.16576553172770842
14,0.5285641619812329,0.16131360395150673
15,0.5035875785431871,0.152455676932623
16,0.49005285447344316,0.14758641098360326
17,0.5051977844626876,0.13987780774400968
18,0.5000804997556492,0.13681409329875063
19,0.4926480522529597,0.13155850912985012
20,0.4434277582535383,0.11590401733425706
21,0.4927868411691638,0.12095483572832495
22,0.492938570021164,0.11914120171912304
23,0.47962363512562467,0.11565221842786415
24,0.48663776126022285,0.11656863703978478
25,0.4505826114810502,0.1119950908853102
26,0.4729085956376854,0.11036682518306934
27,0.44478190290785935,0.10356940619891908
28,0.43815462794878796,0.10386690177264972
29,0.40768125381105946,0.09204615208258343
30,0.3983410818322056,0.09298282444268008
31,0.38646428745319256,0.0820242054526327
32,0.38303051843818414,0.07381926319631467
33,0.3674318078433488,0.07710463447447317
34,0.3676460487410117,0.07133824366876812
35,0.36515135132177645,0.07059010308635179
36,0.3677494711429732,0.06989477425452705
37,0.39552661736852823,0.07428860259710185
38,0.3811158525987192,0.07121052482442088
39,0.37526450021248686,0.06812893842559865
40,0.3541714424848075,0.06832198157358924
41,0.37014272553962174,0.066649388928081
42,0.35683835482498305,0.06382453206042339
43,0.3421100892993865,0.05899983097252947
44,0.33993107141501566,0.06032630633228495
45,0.344031406828237,0.0589079718525577
46,0.35087683760300464,0.059158919570615726
47,0.3503887713026816,0.0626201322697672
48,0.3713748341626522,0.06525863327122268
49,0.35507550710293356,0.06175863065987606
50,0.3581396144445609,0.061686689333917376
51,0.3398829573893495,0.06035161398472567
52,0.369744827455479,0.05858700257493351
53,0.33709741102778945,0.05554040643902045
54,0.3314441395333373,0.05622921643080574
55,0.3502494054910197,0.05454342288644112
56,0.33935143107362115,0.05534458558997634
57,0.34228317147381315,0.053512952442696674
58,0.3549775924779664,0.053848649158431315
59,0.358048797507551,0.055671837727701276
60,0.33603993762344636,0.050468391893066206
61,0.3334152231888468,0.047348237923138754
62,0.34938720382221305,0.048083259620760134
63,0.33587721157206973,0.05041157093502571
64,0.34903673405086394,0.05056683686515321
65,0.3292564050948093,0.04768320141111374
66,0.35249455912296374,0.050014955474278575
67,0.3476397343617921,0.04848467445202424
