sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,3.561494275393068,2.8398046517803754
2,3.2039123406834586,1.8216461926434468
3,2.8337904648927617,1.4702742188572466
4,2.759484171790385,1.1863829635345235
5,2.4458077857124816,1.0084219794034541
6,2.277676521902771,0.912876604539845
7,2.0569101570339154,0.8640599058561084
8,1.9388364622039949,0.7765484349497181
9,1.7585060020399825,0.6675920912998771
10,1.616229097164268,0.6115424607058304
11,1.5945759870574185,0.5746056470341834
12,1.3788926254146976,0.5306429125597953
13,1.316983787908824,0.5014488899660395
14,1.2479173462921516,0.44688854117639304
15,1.4586160481004389,0.5185733487186872
16,1.4193442259513975,0.5035766307093233
17,1.3845994598745488,0.4988220148975468
18,1.4635376300646286,0.4803521063972835
19,1.2987681971716105,0.42992548324163177
20,1.1986910615320565,0.40490146793346293
21,1.2484330434595776,0.4068342130228577
22,1.183833366269955,0.401945647671022
23,1.1979478497431475,0.3868550844792787
24,1.1478659967620999,0.38073473935644264
25,0.9839830996813003,0.29773053883344536
26,0.9557835132766502,0.3038678326085224
27,1.0113306453744995,0.29890392256280707
28,0.9069547351333244,0.3010082011978886
29,0.9434261351272578,0.26978977131370313
30,0.850301813806684,0.2611772492012943
31,0.9505300284047196,0.2855517088836627
32,0.9603654285217291,0.28654190279558545
33,0.8906489354667293,0.24884654041672902
34,0.9229847804498618,0.26481998013946234
35,0.9088466256979071,0.2417602502800151
36,0.8961660371409247,0.2328124042226112
37,0.889827940162197,0.2276187816452723
38,0.8750870423781412,0.22300990769194015
39,0.8259818203401317,0.21599350598014852
40,0.7924710896070737,0.19878423868376002
41,0.7738349368081059,0.19695153384655173
42,0.7862129323593026,0.19662743137392769
43,0.7862943082662472,0.19510648278161605
44,0.7699589249771068,0.18429198414137105
45,0.7417278520114305,0.1762744682175114
46,0.7542904558880802,0.18481470054984964
47,0.7660804125598938,0.1724443199769285
48,0.7524365798469639,0.17445705765702435
49,0.7739695735166718,0.17476821047420343
50,0.7547745298558036,0.17738503106414785
51,0.7792202922797833,0.17855178971789534
52,0.7481063926951745,0.14568776629327237
53,0.7495228967835931,0.14673840921360806
54,0.7124246019441624,0.13559987049452493
55,0.6458321316855722,0.13256310761540385
56,0.5793981059951385,0.10620622880596776
57,0.6178129891154758,0.10609384899527655
58,0.6189756967744666,0.1059969895920277
59,0.5798919706172339,0.08783068088750003
60,0.5726567544609261,0.08363242957742373
61,0.5767809616490455,0.08251179788796983
62,0.536388722452483,0.08107994669979801
63,0.5909438949037162,0.08665045383126932
64,0.5758563322204374,0.08595209928925072
65,0.544935142052161,0.08443149592502162
66,0.5206079181763412,0.08556442049233406
67,0.509200336985697,0.08176867452704384
68,0.5049023272549507,0.07946821942372993
