sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,3.094668898409457,2.824850676973437
2,2.7471423694137567,1.7459967916578067
3,2.796876737108999,1.3907120796268129
4,2.566089400678754,1.1385146824078511
5,2.3274845440778043,0.978797166312877
6,2.0787156249510264,0.8404771578108053
7,1.8300137207183997,0.7221323447668615
8,1.8516904175686295,0.665439112171514
9,1.6208301589028948,0.5757259420666293
10,1.6690297903417581,0.5654079412357034
11,1.9768115971185103,0.6664667837468325
12,1.8815948731831478,0.6392516651470639
13,1.8098640926530523,0.556353746446766
14,1.7368409786622465,0.5420789905216153
15,1.6214264116290786,0.49515231401530024
16,1.4349280928576484,0.4157197424048904
17,1.4144956198220786,0.4059584905946739
18,1.3815219502921658,0.3840400330197541
19,1.350545911405906,0.3712871754350377
20,1.3082761010770965,0.3680582069319651
21,1.3102732547240576,0.3550904579358783
22,1.230993227384785,0.3457745407288434
23,1.1389798791452204,0.3338165722265909
24,1.0751411040604082,0.3308206288405935
25,1.0375179429269985,0.3175298902837015
26,0.9491852069864478,0.30791282293475414
27,1.0797143457573808,0.3077656146894945
28,1.0184777861663066,0.2953430320746626
29,0.9874434657366239,0.304535952844416
30,1.0135352279059995,0.292216981133301
31,1.0042775519308496,0.2934240976293901
32,0.8749545531717827,0.2626953014659557
33,0.9630337686119048,0.26492310254388524
34,0.9603570138304104,0.26079243652551776
35,0.8906366115632739,0.25580473500091816
36,0.9100900528968988,0.24444799226882782
37,0.855682794398934,0.23549232537818446
38,0.9293894695027483,0.23646617657267363
39,0.8824769392245289,0.2310685694237737
40,0.860056142096226,0.22636768179680428
41,0.8398577111472701,0.22056014194669687
42,0.7862704524889822,0.20553220726368707
43,0.7848725523490153,0.2072014712304417
44,0.7735010791706335,0.19925447389403703
45,0.7771737220892716,0.1978889534501228
46,0.752801050122775,0.18074212346843946
47,0.7248988213031641,0.16659073549136902
48,0.7419182543290122,0.1749075265985606
49,0.7540047970134645,0.17100335389365287
50,0.7481514072429056,0.17437795038625542
51,0.7158679202677652,0.1545779504508216
52,0.7532925266482025,0.1690513807964695
53,0.7470707358805794,0.16480539568564495
54,0.7596796901200457,0.15969824227914947
55,0.7590276370231397,0.1579504975559208
56,0.7203297239260686,0.16368162460818408
57,0.6607142689498502,0.12745877045878906
58,0.660103702175008,0.13513203543914454
59,0.6335486901901491,0.11989092714232483
60,0.6487905960530813,0.11753464008943122
61,0.6391101204664265,0.11723601084896959
62,0.6394561450498938,0.1126124348990751
63,0.6345745691320727,0.10939820397881785
64,0.6156457452082787,0.10567760504308084
