sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.2608225636336545,5.545790060927532
2,4.600992389564425,3.352819469155939
3,4.2707874626119,2.437461110033147
4,4.072312773046457,2.1233443296432175
5,3.941003104840202,1.8005442788072619
6,3.5905947898914214,1.675256647261264
7,3.5856100678762624,1.4242137328013726
8,3.531177731666397,1.2659010735754428
9,3.3824237836255424,1.1973541316861283
10,3.3773621032279397,1.1814161631717075
11,3.3356863446453096,1.073119387761504
12,3.2137651201410877,1.0343732678493711
13,2.969780563547543,0.9271087793048793
14,2.699528093716791,0.8844881995548818
15,2.606676260764721,0.8123490558956653
16,2.4857251805938834,0.7627652123127738
17,2.4939652906541623,0.7415862202746906
18,2.378652600737,0.742464932137264
19,2.274268040037988,0.7055089050028189
20,2.2426634796856155,0.6287835305283459
21,2.1804658812080953,0.6061220347947571
22,2.169010406923579,0.6052519686990362
23,1.969617623614925,0.5396655097462433
24,1.9757907613545378,0.5592049984624304
25,1.9652937480450583,0.5368523857195437
26,1.9163571623830031,0.5218153654495117
27,1.975140451121439,0.535169166803387
28,1.806744452689305,0.4680398573315114
29,1.8268216807190154,0.43984650659436353
30,1.8353594254695618,0.4334412332185822
31,1.6411670605397004,0.4069477045102183
32,1.6220860915216466,0.4128880048685255
33,1.4677364271963922,0.3960089387682665
34,1.6097240466306157,0.4019931479476667
35,1.4810824470508055,0.380871234361181
36,1.4896989059873456,0.38496476203337227
37,1.4735916725937144,0.3671563004511729
38,1.3556437466016116,0.3294109768578993
39,1.311089796382075,0.3333639304392049
40,1.2332457065888704,0.32819617816770597
41,1.2565065801543862,0.3158265141472667
42,1.0218537864846433,0.18238440891233532
43,1.0645520831663164,0.19654153350556972
44,1.0156723225428839,0.19518673220706678
45,0.958767416699768,0.17793120419179137
46,1.0293523121293504,0.18269791702120933
47,1.0638685168595823,0.19423572906578881
48,1.0215163867317667,0.18934819781000806
49,1.0071207803583693,0.17863426256794615
50,1.0688087392387264,0.18236381090777629
51,0.9929612856919938,0.17258630757438737
52,1.1055273635694618,0.18382112700105868
53,1.0345730957437964,0.18774537540044298
54,0.9758102738440536,0.1586734918063234
55,0.8901426603881378,0.13677242179295093
56,0.89373104313903,0.12820401354327965
57,0.8878244117219444,0.12777046193539926
58,0.8860751504767238,0.13288025053729213
59,0.8583073836969899,0.12089841958311008
60,0.8363180916901762,0.1178337579700324
61,0.8254573700448292,0.10903847572875618
62,0.7951643374403451,0.11336907617868272
63,0.9144244932123793,0.12333627049603146
64,0.8580485323320397,0.11089847959990651
65,0.938464769211624,0.12108649124485167
66,0.8619887518139157,0.11716050875962525
67,0.8574670474797031,0.10693927100958721
68,0.8530263040493167,0.11237091430256615
