sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.430028691265506,5.655860485305531
2,6.466447138143932,3.523251648882972
3,6.15800373573015,3.3044973239596254
4,6.004613903111718,2.62290097226468
5,5.386973129022459,2.081945044845293
6,4.957407235379898,1.8640848099490563
7,4.690937815163697,1.7750113436821124
8,4.281141762690494,1.517499620804272
9,4.176592608947075,1.3338992832057606
10,3.475952511281462,1.2757470897661218
11,3.5465003402706636,1.2978175708019697
12,3.3285345237784947,1.1699905651580689
13,3.0732867975705487,1.1208531638419128
14,2.8478885048465514,1.0123161946363792
15,2.433777862945494,0.792265045937786
16,2.468681709976199,0.7387305249650998
17,2.589811370880929,0.7504053983123503
18,2.5957139458295404,0.7497723387969234
19,2.5872138741137034,0.7194757230668626
20,2.4485161154124135,0.6518320510757333
21,2.371568178106862,0.6280981054796891
22,2.588577520298418,0.7424822250803148
23,2.6263850492093748,0.7535636718229362
24,2.6449017845656946,0.7554602083117863
25,2.54203003847271,0.6585907732393793
26,2.587177269748897,0.6683595518782074
27,2.6047998128868857,0.6863486510406341
28,2.5175620934499556,0.6284976696993112
29,2.424202345652297,0.6160114516806243
30,2.509175816605949,0.6118639847269982
31,2.361257534707342,0.6131000354007825
32,2.3868110599295873,0.5600814760973762
33,2.309945802803785,0.5603202875194068
34,2.306668479167575,0.529508922118512
35,2.349084304740122,0.5408740046302379
36,2.3030019883918884,0.48643772455199596
37,2.2600242891814952,0.5196723366198562
38,2.356419878859498,0.5305814467497298
39,2.337048997739419,0.5270157039652672
40,2.24389466679088,0.5062852032590653
41,2.2026017833333498,0.4880866538591791
42,2.2775457492386386,0.48834476223454404
43,2.1976521475142317,0.5093313590377951
44,2.0830264277299735,0.45327582938522776
45,1.9939056322812974,0.4154123121051826
46,2.0704653669358453,0.46197560312379427
47,1.9186491009132582,0.40649959728152724
48,1.8087552416513872,0.3920830938560767
49,1.624264617646348,0.2928405035217855
50,1.5386467755646642,0.27641007866593176
51,1.4605201933752838,0.28118931038764167
52,1.3901739865145755,0.27454512644639645
53,1.4021702466711325,0.2880853674434667
54,1.3977804619832161,0.22468762866372377
55,1.4107586449826934,0.23627844226469963
56,1.4567470119411878,0.2286256644792448
57,1.424857782015524,0.23333984266569235
58,1.4562808391513975,0.24131670047645729
59,1.4073511880474223,0.21056345519467906
60,1.3324729160102688,0.21092313993052017
61,1.3455645954470496,0.2165684239736873
62,1.3178670692236498,0.20129662053993297
63,1.2203572258782984,0.1800831395809574
64,1.2538917062033568,0.18212487493967924
65,1.2982803008990444,0.177803073353661
66,1.340119214471671,0.19240996849193126
67,1.3457966377635329,0.18238494346029013
68,1.3065146256001874,0.18677149719854533
