sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.458615303938032,2.670450408454765
2,1.9369425502784212,1.7265167727586888
3,1.9232187665429459,1.351443104993028
4,1.9237730237650765,1.1721466791670616
5,1.9655848101227227,0.9574282649577286
6,1.7766846939246645,0.5884691289190414
7,1.7902641311781025,0.5290650695130309
8,1.8997821005405853,0.4998485847180421
9,1.9869698537496099,0.512689988216935
10,2.358530854116836,0.7247124827965465
11,2.3387310493019093,0.6606258278436052
12,2.402906610862652,0.6572399616666194
13,2.462011309847476,0.64890463192394
14,2.408648261580251,0.648145277929347
15,2.1603744735294383,0.5549061294456041
16,2.126213473334253,0.5550119696390668
17,2.1076026233742895,0.5098588273970788
18,2.0516938789532886,0.5104849589997823
19,2.032018274576268,0.4756316580531346
20,2.035388003865214,0.49138490261613044
21,2.0613826949900798,0.4734351735313605
22,1.9652723919287305,0.4296107870485186
23,1.8239043749704904,0.4352610404385566
24,1.7944369510882336,0.39394741882371614
25,1.9485348984745858,0.4096088637846046
26,1.6901736528139386,0.36123775707368844
27,1.9870145495664648,0.42108445669476996
28,1.68258579712567,0.35052072857741146
29,1.7025922243312726,0.34312094743514665
30,1.8143197958968986,0.35358989219084896
31,1.9500444764849176,0.3908801356587982
32,1.7018920408725884,0.3182121987896626
33,1.763813283991776,0.3046870932727468
34,1.9308728764490493,0.3589242211818373
35,1.7398754524025004,0.31350825633277024
36,1.7453206937320878,0.3066497121173942
37,1.2408756353326273,0.211871711489362
38,1.276284869756786,0.24443960661977465
39,1.2302702948927524,0.2070659181976611
40,1.2080199541264838,0.19923879866660307
41,1.3012389460990226,0.22903853784327044
42,1.30281640815825,0.21274833897033354
43,1.246949568341999,0.2157501380513274
44,1.200298627856688,0.18921968389824
45,1.188579275591982,0.17625175735265622
46,1.2413316453285603,0.2214610487081001
47,0.8011941449550073,0.13765065377685
48,0.8350005430275502,0.1437667681376242
49,0.7191736021219077,0.10720713616679863
50,0.6986063054359556,0.11249341329431392
51,0.6715624479212409,0.10820237945098811
52,0.6043331148487717,0.09983566895982697
53,0.63924632751933,0.11013638324370363
54,0.6036422595705486,0.10138876650342621
55,0.5848952516818205,0.09035282532701475
56,0.5743924096102412,0.10351331867896726
57,0.5551968581188407,0.0898862562501734
58,0.5261670931505983,0.081649523424479
59,0.5508907520688813,0.09398488908597048
60,0.5277662812754892,0.09255730698819441
61,0.5068828375631729,0.09006045063607404
62,0.492941009063174,0.08368450412575461
63,0.5152706251672973,0.09098612600230598
64,0.5121865223230234,0.09055940771280033
65,0.4772425469386296,0.07382702684119466
66,0.5040588220871279,0.08131603395250812
67,0.49009358807899245,0.07469582204919455
68,0.5077565385938562,0.08233146472292711
69,0.4971508026400579,0.07642210898098094
