sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.5466974629490209,1.7226981565483042
2,1.2149383751370733,1.1470145884154155
3,1.2061529449277875,0.9013342426785739
4,1.205028726128208,0.7488820301426803
5,1.2283012434928156,0.5913912100174762
6,1.1727031353260435,0.36079011895546725
7,1.1617860766574644,0.3312448191642341
8,1.2447407743074093,0.3058255449038091
9,1.3421350759024664,0.32978446347308826
10,1.6017794576955755,0.4505232859863781
11,1.5058572847621905,0.4107868162141815
12,1.5709401113246615,0.419160953867296
13,1.5865655440317434,0.41543062677395604
14,1.5240910998254544,0.41184015845183186
15,1.4059176015765664,0.35666600912400476
16,1.3276004366831369,0.34472459085364576
17,1.4040835131988891,0.34433260820867884
18,1.333766839146084,0.3337234640173952
19,1.3585907287598868,0.315160730977363
20,1.3618557866557919,0.3222981253571598
21,1.3185193513284168,0.29405896851257357
22,1.2643973156601183,0.2646149476035513
23,1.1202733924742254,0.2625409306658022
24,1.0865488704132604,0.22980215365235615
25,1.117075025479003,0.24185451456848356
26,1.027946651558017,0.2153449314808433
27,1.1647334582805373,0.2275100449690296
28,1.099086215554778,0.2213900709342612
29,0.9874061645030977,0.1843400130130895
30,1.176701997491856,0.2123748147786856
31,1.1539921613274566,0.21447074332773142
32,1.039281155887307,0.17717785041985426
33,1.065443456423164,0.1820172090602395
34,1.126791747766814,0.1952026808094774
35,0.9917775491166917,0.16968674816982282
36,0.7960183324116115,0.13738405281345428
37,0.7875956934070174,0.12728034052906473
38,0.869383967705774,0.16385245851395588
39,0.7936164512558358,0.1373527836894037
40,0.8015266334069471,0.1317905917489994
41,0.8138267280352302,0.13488539782719622
42,0.8087693946184906,0.13871112691491008
43,0.8471214696141816,0.1482589112045583
44,0.8051991110407989,0.13638925484095613
45,0.7753464728382182,0.11844211112378014
46,0.5315112625672447,0.08529461432212208
47,0.436614371842213,0.07001418742687618
48,0.41615030343540743,0.06756009355107317
49,0.4490801393854924,0.07421095704179752
50,0.3832917860876443,0.0664456289788523
51,0.43146904480576526,0.07366476939065233
52,0.41373591113546104,0.06235390788224282
53,0.3849250162306869,0.06583198767885806
54,0.4084152353792828,0.06438159362576444
55,0.3870723720753969,0.05886552816366437
56,0.4197833333219854,0.06332864683014865
57,0.38787667978187607,0.06400584759756228
58,0.39958222505831165,0.06340481760819656
59,0.3774852130489337,0.06473327414009726
60,0.38864287928294516,0.06355374511933508
61,0.39912907395885117,0.06014292774160494
62,0.3781077178424368,0.0600135563622068
63,0.39726538347905843,0.059805164451231775
64,0.3929236975431638,0.06455928557212716
65,0.389853351562773,0.06246585689954178
66,0.39123324473910986,0.06111748712276761
67,0.41197939656618926,0.06694308841464178
68,0.3934889443121084,0.06035405510254907
