sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.948981204206882,4.192204363520051
2,3.813134527775197,2.6731769024179095
3,3.3881390087955396,1.9570715044410498
4,3.4415970281429304,1.7309943464503696
5,3.4110278366624347,1.3184449316627433
6,2.9931755073222317,0.7400064560843752
7,2.845891746326859,0.7146529720465313
8,2.8877686435641654,0.6915602614700637
9,3.164988938827475,0.7663869193699292
10,4.008740314945636,1.1574135541548944
11,3.771917651996405,1.0258084171736555
12,3.9271930380587134,1.081469480563304
13,4.062377507530654,1.0504546703920619
14,4.115859088309427,1.0629960568923842
15,3.6130202400041735,0.874875702811205
16,3.3073714775163503,0.8359503560642542
17,3.6650646096283848,0.8469089297433341
18,3.342916736014505,0.8356922007690706
19,3.4979027683883035,0.7729234721479392
20,3.4244211756206258,0.7865284301377234
21,3.464189909536775,0.7749068233478517
22,3.2422002116571433,0.6842812945259549
23,3.3385756307410737,0.7283520529188251
24,2.871738469291987,0.5582786705489335
25,2.809591724698061,0.5353783929352984
26,2.8224604346210143,0.543302152765566
27,3.5540855489877186,0.6493630660314519
28,3.2623102087897147,0.6032058575822545
29,3.2843578485110325,0.5919717377675067
30,2.9950605781115582,0.49414801318100793
31,3.2041538561333036,0.5572467458493986
32,2.8123459456280453,0.49776250887709156
33,2.7349134565643376,0.4550654145622375
34,2.7104622866344683,0.4948996521345718
35,2.829673366840638,0.5431369641304093
36,2.6256078862079777,0.45187611101443603
37,2.4377092060430203,0.368478881740621
38,2.419257936052745,0.3965245739964382
39,2.3732370579677147,0.3458790639762368
40,2.3323676674191187,0.34012564950850904
41,2.491000297987403,0.3884859116673222
42,1.967966738156415,0.3035700194572406
43,1.8227289489148522,0.2906092562247288
44,1.7434608241230483,0.27679052467052934
45,1.6576565246272943,0.25932511984459683
46,1.4436296689828205,0.2167777968708896
47,1.3671406740602874,0.2133276017558728
48,1.370434396186505,0.20456319053242117
49,1.29409018560182,0.2011724980600034
50,1.2301381323957443,0.1845823984863779
51,1.329849603572325,0.21378575132773794
52,1.1583039922949152,0.17636969418376172
53,1.0818823948884781,0.16610049333719445
54,1.1635183305752057,0.16212196577356183
55,1.0991090282474083,0.16363783561099798
56,1.1105332898933664,0.16764517869890236
57,1.1047205673593576,0.16546679987424487
58,1.084704694531965,0.1597835341491386
59,1.0734706580351105,0.15810878588092747
60,1.0531566444917149,0.16269512487312301
61,0.993885711847664,0.16273281940656023
62,0.9016359473549875,0.14991825330072983
63,0.909791708590436,0.14891975249684683
64,0.8427401903440459,0.14760645267617362
