sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.553501048448412,2.4370233012173994
2,1.9371205180500695,1.5535187546134934
3,1.8585397336833633,1.2163958928962735
4,1.875647240520904,1.060631540516269
5,1.8828117324917848,0.8535396036630998
6,1.6719543922421647,0.4459926710699197
7,1.625232228917394,0.4174256937190942
8,1.7446330600838091,0.41191548514011417
9,1.898956519664058,0.42458819269023745
10,2.460914349185633,0.6681187802498608
11,2.374575706694269,0.6119073597378919
12,2.4492812632952043,0.6226508812457012
13,2.50201021444964,0.5953724796288602
14,2.523074096249555,0.6249305602465612
15,2.1841552422831882,0.5033943855011096
16,2.2172376612956546,0.5045517903666841
17,2.17951256060081,0.4722237422446407
18,2.1272510818180437,0.47503235876254923
19,2.2674925728034885,0.4643816905824422
20,2.0855715237045724,0.45069427321658456
21,2.1015824800217375,0.4371962474690781
22,1.99395955095102,0.38613355746623246
23,1.8563331203078852,0.39564953143569725
24,1.7906455284519383,0.34924228093551524
25,1.9543523950229045,0.37643669741027097
26,1.73122624350764,0.3304890716892529
27,1.8759516101559943,0.3550594008470982
28,1.792463887479052,0.3386682232828565
29,1.4917083848687482,0.25612271759299043
30,1.565379619849585,0.24845449504904527
31,1.495827103383383,0.2534302863970434
32,1.6449768161039717,0.26282778722747985
33,1.5733523113324757,0.2393477920952242
34,1.6779058353047887,0.25886362327620116
35,1.4284426053942865,0.22672089793062958
36,1.2428672761447381,0.21258692947312263
37,1.2204935317096492,0.19877669372351395
38,1.329306530787359,0.2362310027735381
39,1.3040335428529881,0.21207106635996423
40,1.2492972317239706,0.191425193973812
41,1.3411608723790736,0.20565639225732946
42,1.2869650049657606,0.20100563563063886
43,1.3517523074927325,0.21826220098175603
44,1.3495359836761665,0.21730637269691386
45,1.2170927670513583,0.1943912901942818
46,0.8329085740533915,0.1535272681111784
47,0.7811911186366037,0.1503147645694125
48,0.7360045090577024,0.14641297305481016
49,0.7613210966543632,0.14647161945368883
50,0.7409179208932044,0.14611110265374685
51,0.7155662846532681,0.13631181077716606
52,0.7213948608060566,0.14716881393681314
53,0.6336428432583894,0.13671463895041502
54,0.6495885339072841,0.13215297353072897
55,0.6448845659988406,0.13266519566222776
56,0.6162860024456632,0.1343142160954449
57,0.6216227725360722,0.12777747222034425
58,0.6278609691152646,0.12401361454070144
59,0.663586552862375,0.13189961775129494
60,0.5882801832118624,0.12310643893568676
61,0.6164909190795426,0.13340899772939174
62,0.6032859087667638,0.1268191496138427
63,0.6069817197091714,0.12121331997888637
64,0.5498605779016589,0.11829453732237362
65,0.5816271293545198,0.12152200707819821
66,0.5476621212178256,0.11474626852961425
67,0.5793107892180339,0.11947284761940832
68,0.5711441677846041,0.127472019046042
