sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,8.358363341823292,5.880099211128908
2,5.871101099986165,3.38357526282961
3,5.043802818721283,2.435275537732724
4,5.162048582335963,2.1450787013507338
5,5.10564408308714,1.586624351572765
6,4.051622893965317,1.1103679154716195
7,3.946735449876379,1.017787197486978
8,3.848606715227906,1.12374456235291
9,4.008572802890513,1.1016766577200856
10,5.094113947508893,1.4594964996524058
11,4.457677171235331,1.2589373618885469
12,4.698228591116696,1.2724014265754817
13,4.987899376968134,1.2364728553939746
14,5.090247265156683,1.264655622281424
15,4.070366392697135,0.987494785568098
16,3.679394025389463,0.9397467615901782
17,3.966752402586578,0.9175810626416113
18,3.7734113116435517,0.9367636356446783
19,4.006663397675064,0.866910106897166
20,3.7723983747614716,0.8592104041721552
21,3.8670103713101205,0.8592294986362253
22,3.763614391634539,0.7738989827940173
23,3.7894213279365236,0.8083179991905745
24,3.4040065018940413,0.6452382194886094
25,2.907052049749712,0.6084887967782565
26,2.9230688036862005,0.6113435581849279
27,4.011576465522991,0.7111925528428829
28,3.524543677406142,0.6257741215606325
29,3.5442691608703436,0.6240339148461864
30,3.207620319210958,0.5218301376085204
31,3.357546122934061,0.5522881867296041
32,3.181017091432308,0.4748505968436373
33,3.375218138040781,0.4676358832042624
34,3.297494531078248,0.5152591587579771
35,3.688100981548355,0.6207652435564485
36,3.5318062173352094,0.5294828516683932
37,3.3207348308374876,0.4448998763542941
38,3.2007300120713373,0.44239253569419734
39,3.0062912955182552,0.3693665169177077
40,3.048334918808088,0.4078920187462321
41,3.274108947188363,0.4350948918139999
42,2.8710047825418346,0.3825332361624936
43,2.839244139833308,0.41250507275900916
44,2.534146063683233,0.3633196338144771
45,2.766557434427005,0.3746377055829202
46,2.3859674389656633,0.31857526392227614
47,2.3024788042081514,0.3152498785968978
48,2.426977368206396,0.3171493507911508
49,2.3444755121620773,0.30765526427126144
50,2.226728057345996,0.2904173525559739
51,2.223826120754945,0.28662336733738436
52,2.115598954762593,0.2768509631784722
53,2.053641852944054,0.2582362159898673
54,2.128969179363257,0.2567272652779334
55,2.088262616503264,0.2744832065012637
56,2.107302787151113,0.26934668658945043
57,2.0502324731115915,0.2641242242822466
58,1.9692145738862576,0.24194576428839257
59,1.9642772389824994,0.2646543972259229
60,1.9692518316809613,0.2534346481199958
61,1.818384958477513,0.24843202013156718
62,1.802458918683345,0.24585854631207366
63,1.7285782767348838,0.23975392345806806
64,1.7535137434366057,0.23428891278170327
