sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.699552173438417,4.64638674742046
2,4.192266819883967,2.3508440141372953
3,3.740005060777476,1.617648352204932
4,3.776616617784312,1.3928525188234064
5,4.191702794744443,1.446657435396287
6,3.6991051085678315,1.2509311013521727
7,3.5758517485455594,1.1544530737013634
8,4.340503472714188,1.2260216108203463
9,4.48368824482521,1.0289692983120178
10,4.462264320471395,0.9651144499227775
11,4.401535755132277,0.9943094922727674
12,4.051602253919449,0.9682356417116019
13,4.335385182140136,0.9340273604605159
14,4.446891913163847,0.9716511382727676
15,4.320368147162878,0.8935752739252141
16,4.166805819533207,0.8639353732548468
17,3.543679663709312,0.7233502914246757
18,3.4264737951903164,0.692954719718332
19,3.4321423752951956,0.7049258706294378
20,2.9290853418488343,0.5956696146092281
21,3.1419353258544542,0.597105565218815
22,2.8755511586221405,0.5918909629458764
23,2.770067958484675,0.5628170014640058
24,2.922821040423713,0.5837641144148555
25,2.740006656945306,0.5148950710150052
26,2.8459253588035507,0.49701463579862004
27,2.8500690815533885,0.48902826757123125
28,2.778683793250595,0.5027493817890141
29,2.5479143484301514,0.4435092114646124
30,2.5489619850566463,0.4254738086789381
