sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.8324026290053133,2.7043508219240597
2,2.58886060517867,1.6841256741609134
3,2.2434161137856203,1.3135187966079185
4,2.0722342481691762,1.139918481707888
5,1.824877624241455,1.0012014539718925
6,1.849551305134226,0.8711065382005285
7,1.6112700084008666,0.7482146482180956
8,1.637213091942162,0.6883026030994961
9,1.6077048846876834,0.6118642960620436
10,1.4648744817652388,0.5778265567525781
11,1.421157551766287,0.5318122816763452
12,1.4125051257616223,0.5170958193415777
13,1.3537058665287565,0.45511765036829027
14,1.2204233696355768,0.44311040773682714
15,1.2475542787353342,0.4225397476617932
16,1.3125325855712593,0.40375394365903106
17,1.3042474796280341,0.3713759179377501
18,1.3730671510148773,0.3665677060683376
19,1.2587180824677346,0.34552768954220964
20,1.128679889330178,0.326161142954901
21,1.2248384891222377,0.3158471594800846
22,1.1789440852302147,0.31633740568622687
23,1.0668786567873236,0.30047935049799585
24,1.0028964992607652,0.2761192026949255
25,0.9676121191465762,0.27063286147790283
26,0.9746864976974307,0.26187830972857384
27,1.011548035809246,0.26322271869935626
28,1.0306911044432987,0.2642779390873692
29,0.9596617529279878,0.2594279153272733
30,0.9263122493181809,0.25034185937056164
31,0.9243594892989592,0.2527211856576645
32,0.8923329352230353,0.2386861023041359
33,0.850929584496004,0.23547009009350836
34,0.8195620743341164,0.22503030852174735
35,0.8606507357042276,0.22336657393674375
36,0.7645177290240203,0.21217180210551792
37,0.7776427664396443,0.200782436040582
38,0.7777078774072805,0.20246083178853438
39,0.6879042606158492,0.16679955092133372
40,0.7008278787857525,0.16183477130160961
41,0.6191893319965873,0.1355447733657237
42,0.6394308170839504,0.13194844571700046
43,0.6584021796188748,0.13845827153002066
44,0.624830152004558,0.12748791756414926
45,0.6049119335233911,0.12564333884235326
46,0.613352567929251,0.12336763301028952
47,0.581407766387617,0.11940399406193887
48,0.5953026967904541,0.1284805900452599
49,0.6091576914650157,0.12346261460927234
50,0.6004351746078453,0.10678143320575476
51,0.5640708710940487,0.10241932818980515
52,0.5633479634931734,0.10048136580471469
53,0.5531754219249255,0.10115480463556435
54,0.5267296808349958,0.10124580032216192
55,0.533364598215997,0.09214163921496155
56,0.5274767256396055,0.08541080895809978
57,0.5140934671451737,0.08790749004912979
58,0.5214589862174319,0.0916406417953021
59,0.5236664731587043,0.09361980118816488
60,0.49236294849742906,0.08263715955913958
61,0.4795301037274293,0.07084629656845338
62,0.5258580530712494,0.0886263315653372
63,0.4992969153302801,0.07754702865862889
64,0.48665969998414826,0.07535140330484875
65,0.47381269105613727,0.07668099280195229
66,0.47572549388479013,0.06901291000449497
67,0.489005975608215,0.06957866256002507
68,0.500893872947859,0.0780925962814863
69,0.4657403795252331,0.07742077389762765
