sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.970610269606254,4.931755410209867
2,4.095632118412601,2.7643947635428856
3,3.5045150144330957,2.019713474642326
4,2.9754791328209307,1.4626708618684992
5,2.94325257952021,1.3394239313810412
6,2.741613488978687,1.1812722735044803
7,2.850719316139031,1.0994857297921687
8,2.772970299443806,0.9767364324438522
9,2.6765498712428566,0.9500083635509938
10,2.3725461068530644,0.851067501157896
11,2.240655066320011,0.7783519549468187
12,2.0886892338879526,0.6734821649378375
13,2.206090598373279,0.6474612162929256
14,1.9771866058075886,0.6023380106830616
15,2.1253735257415434,0.6091365368788176
16,1.878344602977061,0.5457421962616361
17,1.859159978031601,0.5075453743821241
18,1.7343184901198718,0.4997061386450555
19,1.7919400263737943,0.4702171530486644
20,1.8153778872671538,0.4677969545884566
21,1.708334138019863,0.45097706404393223
22,1.4846652654585768,0.42321683211128447
23,1.532091513177908,0.4188121033638844
24,1.5233124997641636,0.4086573902529196
25,1.5941376628746953,0.3918184711266882
26,1.2985147185115287,0.38052609032552165
27,1.3847574760357335,0.3678676074033358
28,1.4282170924689872,0.3527806239708844
29,1.3190199666374975,0.3297741960210958
30,1.3755092138558787,0.2968656694145551
31,1.3438348687384496,0.3191068375700076
32,1.4364589377391208,0.31617606547835464
33,1.3679776558485224,0.3092425928685962
34,1.3015689892697955,0.26495730158109687
35,1.2366421627975455,0.2714853657957458
36,1.2889209184024528,0.2792646923052034
37,1.252637710880171,0.2666529764049371
38,1.2073038453675957,0.24589697569323943
39,1.2443172668044793,0.23718124530244628
40,1.0663566446622847,0.21664714919887065
41,1.1409158858580055,0.2050801217869748
42,1.1107100053865129,0.2215587117104572
43,1.0581844695014007,0.19879660285619363
44,1.061259462710073,0.2122604874954507
45,1.01910229698372,0.18778198653006892
46,0.9501269057315075,0.18004503515310605
47,1.0120613347941307,0.19475029505413557
48,0.953578393136013,0.19477244166877936
49,0.8753206348314008,0.1768561073309188
50,0.8672173413094256,0.18009730949414648
51,0.851570401028817,0.17642724705239432
52,0.8844974630407466,0.15983286988056056
53,0.866667776346605,0.1603484347843081
54,0.9347715336057201,0.18465277015814177
55,0.8967648851086248,0.16355141164757933
56,0.9135056050294466,0.16309337366456425
57,0.9114081007682164,0.1672518549397865
58,0.8795578362301907,0.15875521624531974
59,0.9087285568320457,0.1620276870919722
60,0.9076140438594169,0.15036403034780396
61,0.9085728691753477,0.16867915038557663
62,0.910092524500608,0.16368670137681313
63,0.9000794078737974,0.1386884558272038
64,0.9068821180189724,0.15249049402642925
