sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,2.451058603454336,2.106582535884111
2,2.175239042872045,1.3120108654508305
3,2.020942792439137,0.9276847977272088
4,1.813697428058415,0.8008050355580056
5,1.7563442894287533,0.7582665162079654
6,1.6567068003339787,0.6332160242387831
7,1.4393523588068726,0.5625908171177253
8,1.2687637409178651,0.5687339977377266
9,1.1430004821614486,0.4880075664195576
10,1.1743574001229795,0.4397286362418549
11,1.1672621288556648,0.39902785212001207
12,1.120512358707883,0.34354254072328555
13,1.0453907555697695,0.305844853188636
14,1.1026153437731516,0.3120816116535581
15,1.0226272919124677,0.27024609612459227
16,1.0498975330357634,0.30524176015143684
17,0.9348155653084913,0.313787329316448
18,0.9439998562517552,0.2944429712620237
19,0.7487674271202671,0.23461371266187733
20,0.6730854912182408,0.19403166600692157
21,0.6628542321874321,0.18453738049907473
22,0.7071442973954071,0.1953302654709532
23,0.6451023283210362,0.17358911045805367
24,0.6958121602883259,0.17954539314824078
25,0.7395897346111102,0.1748948417038483
26,0.7205651150774867,0.16454957478706858
27,0.740578442543317,0.17081326462942228
28,0.6535144243659292,0.1624944713354369
29,0.7096834632038618,0.165320843335716
30,0.6518717740887313,0.15785120422103194
31,0.6300820763480313,0.15899791195094667
32,0.568376422781395,0.14979027213867666
33,0.5777140025162292,0.15446611558515838
34,0.5545050680729012,0.14024016107559575
35,0.5476452987041878,0.13442526064238539
36,0.6134355683203687,0.14223488161472117
37,0.5772375593187968,0.14175578263212296
38,0.5821080081930622,0.13387621387535178
39,0.5332815440165161,0.13442363478628266
40,0.5523021685435975,0.13149250128240966
41,0.588073793244332,0.1391401359341964
42,0.600661592153048,0.13524721181268243
43,0.5722522521929674,0.13157676611498761
44,0.5694532121205796,0.12908826339210402
45,0.5414110968487748,0.12144790596868045
46,0.5566135635715543,0.12129056788990415
47,0.5326817046002491,0.12163646183818
48,0.5737763866842525,0.12348973126753124
49,0.6239323706078999,0.14575333607444535
50,0.6183514515800823,0.14378829756124484
51,0.6045875662685299,0.13835309741179044
52,0.664705284564615,0.14734268351320343
53,0.5962166637777223,0.14115294801255054
54,0.6293104033318412,0.13325577244362025
55,0.5987975772556481,0.1345408917756098
56,0.592182298445602,0.12896820245905807
57,0.5944039616453813,0.13026112592782632
58,0.5930487112886916,0.12811870148905838
59,0.5758397427479054,0.13146726123121574
60,0.5804880675370346,0.12496530054808346
61,0.5730388131610294,0.13026706944150085
62,0.6043197863542167,0.13166891651310794
63,0.5940162460463763,0.12903224671129349
64,0.5551020478611396,0.12113689371645286
65,0.5804608350767007,0.12602449160611326
66,0.5474642406555866,0.11603347300614393
67,0.5609845843969695,0.1191526297437768
68,0.5691401575754549,0.12355360667013163
