sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.224997140913329,3.181403810375602
2,4.0030378475634825,2.0794036363804524
3,3.660818202645481,1.4971952917150353
4,3.4945522858292217,1.4507284337765374
5,3.3311110281040355,1.1623234666497908
6,3.2096821413501617,1.0277094263162547
7,3.2707340588693867,0.9465677472801739
8,3.0143600443900223,0.8694008580502048
9,2.8652137333715455,0.7988386163539123
10,2.7540929755698302,0.7643921976176025
11,2.7255497335802152,0.7767613296228532
12,2.5965497896669714,0.7047158641803404
13,2.398679511632489,0.6282888089980515
14,2.449959007081312,0.6538827435150304
15,2.364395410287727,0.5822144506489988
16,2.3033623430083336,0.5485448007777219
17,2.1351647849400273,0.5184191948474373
18,2.1380581881125202,0.5117571215709694
19,1.9853658185321597,0.48056707413774313
20,1.9854129932908378,0.45966122174767515
21,1.7538483436957124,0.3991516301440727
22,1.7133426628934223,0.4015268355789997
23,1.6931423755626658,0.39813530906818523
24,1.627627300805683,0.36963322357747336
25,1.6058682125033097,0.35510549352180765
26,1.6018200207536686,0.3447751961966256
27,1.4625683752017942,0.3289748622168611
28,1.4588551367576288,0.3269042532744127
29,1.4699040801314418,0.32798258766253774
30,1.4579499873205282,0.3162769795342307
31,1.3628414704457947,0.3034310220858484
32,1.4252778440198428,0.28043115313411066
33,1.3185458355628663,0.2736992871231643
34,1.3549626870091749,0.2780934638572885
35,1.2411298757462106,0.25469896166753253
36,1.2484204224876765,0.2597100044732974
37,1.2953264972682608,0.26218448214528495
38,1.3323923374791837,0.2537592749024111
39,1.2338070918196986,0.24624134122926314
40,1.2628217395131827,0.2513403231267841
41,1.1946983915743852,0.2304472524751973
42,1.219314769826271,0.24135258977931703
43,1.2723251089320458,0.2525923048995544
44,1.2457431405572452,0.23593122451859677
45,1.188070293746073,0.23773124069557725
46,1.2165988809143045,0.23572524921788293
47,1.090574174780897,0.22166462821654653
48,1.1017399089663726,0.21779412973797105
49,1.1793484023825669,0.22076045463930233
50,1.1778755636043794,0.22957638054294027
51,1.182633848518166,0.22167959394753198
52,1.2111527428285045,0.21863532541882635
53,1.1402816195421797,0.21078668301460995
54,1.2342678436270642,0.2093923811418909
55,1.2804620585678559,0.2120190760139858
56,1.31977536928548,0.2091491411360419
57,1.2556401656133551,0.2037877575681632
58,1.2348215270471,0.2136644631042424
59,1.2487466089261843,0.21125933973695799
60,1.268948269624257,0.2102370130818451
61,1.2583221929630521,0.19776248358559698
62,1.193871804406324,0.19262154437978574
63,1.1998427959302393,0.17590443115757767
