sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,7.00196717351794,4.499806791685391
2,6.10741062264029,3.373371922233559
3,5.515714958331051,2.755216152299838
4,5.554176983297024,2.3079492880046764
5,5.429533124424653,2.010050252102811
6,5.033146024460587,1.7595618210208355
7,4.824904130984064,1.6100557737270376
8,4.70123190188048,1.5567025345799694
9,4.391333633403675,1.4338748702253057
10,4.345119480001379,1.363575613666115
11,4.1435341894086335,1.2830311166318742
12,4.09835061422831,1.254152368990645
13,3.887822796808421,1.1589352807716995
14,3.9577202273738346,1.1643305715251526
15,3.4217549480405194,1.0938982372816437
16,3.2896092643792416,1.02543899595208
17,3.3254152219238295,0.9028869707578651
18,3.267481148156729,0.8653477322697031
19,3.021202634604813,0.7756924253626333
20,3.1777382294795395,0.7434505742352695
21,3.08243350710576,0.7073765231035795
22,3.089995403922393,0.6957156895322087
23,2.968789196400248,0.6019747984172064
24,2.887612488857935,0.6173444593220199
25,2.948405193622608,0.5843777220087422
26,2.693099883781149,0.520458518805256
27,2.6553160495358843,0.48875221767443977
28,2.573328950691139,0.46839400073040477
29,2.545457429406352,0.48337426255776855
30,2.404643647902648,0.4196450036477099
31,2.6222249731825213,0.4833636223029021
32,2.3606286369759646,0.4187631695662409
33,2.4097719011435763,0.43124804076431245
34,2.544437993687115,0.4679970602888187
35,2.4658433757207425,0.4145391520793181
36,2.563882921947907,0.42591379300171145
37,2.407899588595141,0.4031631110050651
38,2.324446810435638,0.39430300613870883
39,2.3532833727602123,0.3820880180371045
40,2.3828882803955733,0.39472471803926534
41,2.242500712860732,0.38571533782401135
42,2.3210985185691877,0.3927737190713444
43,2.260090375705765,0.3760087844541811
44,2.280773062594348,0.3646070561099534
45,2.322953219871701,0.33581772929570364
46,2.324610551608372,0.3299484500165436
47,2.135575629391311,0.3208160954222377
48,2.1635313103788554,0.33499162271000926
49,2.260389761061877,0.35601917756324414
50,2.144591858500192,0.3268237497850762
51,2.2079816575208344,0.33998852632577453
52,2.0390129807848076,0.3327316569478745
53,1.923346665155674,0.2878936050466324
54,2.0304415989662834,0.29866905559556717
55,2.0998889030373347,0.2961169633275456
56,1.9860100069195818,0.29195355117496474
57,1.8346898363744486,0.2594949275453816
58,1.9059665931709946,0.2734196138529335
59,1.9012611726872468,0.26190351891116337
60,1.8859358166182878,0.24942226021274186
61,1.8334355219319471,0.25710249025070875
62,1.8246901946407146,0.2525896653080257
63,1.7795041160568041,0.235252342167148
64,1.6610050346641545,0.23632519448882447
