sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,6.0498700633934615,4.0646985074139215
2,5.053113334504714,3.0956765835011346
3,3.627521041646566,2.199285668980818
4,3.6580981063057108,1.5525246631762812
5,3.7506214042616235,1.363297477021529
6,3.6593861638083043,1.3274206595493683
7,3.7706598615274034,1.2094861701003468
8,3.459313886297586,1.0615896212840725
9,3.6311016070232567,0.9127623125506186
10,3.4688412535329016,0.800487053398264
11,3.2213020725188675,0.6897593516706506
12,3.3037781965251933,0.7334342576279316
13,3.3507647861087264,0.6669780269041602
14,3.4720997344868088,0.6649032276302236
15,3.4004546431823446,0.6445987050536072
16,3.4248932554246365,0.5682075589949919
17,3.5811860477141244,0.6524203858471257
18,3.499396835551212,0.6290805251622427
19,3.2853807878561354,0.5976558885841664
20,3.1378647318359882,0.5857828228961622
21,2.9377740169329325,0.5239772026143089
22,2.8511953707091777,0.5191710755711485
23,2.6630927615878797,0.4520278310718523
24,2.8113754279480583,0.4997849937594591
25,2.6186227436317306,0.49903687682136527
26,2.637780793518286,0.47893943469084727
27,2.6407830073884067,0.4305520819034909
28,2.5044855560823653,0.417253769465501
29,2.6242998434649256,0.45012634540080904
30,2.595495833504382,0.4443552746332503
