sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,1.0258219204252352,1.011338759758879
2,0.724360088461567,0.6603341123327641
3,0.7258243978118856,0.4929216918186021
4,0.7265138388158301,0.4061147685326128
5,0.736042407446425,0.3336880311404667
6,0.6903505505854778,0.23550670999923484
7,0.731385288896413,0.19743600474653206
8,0.830190621374303,0.17189817915896016
9,0.8391206505273443,0.17604697468925615
10,0.9312210402305281,0.23743171256612533
11,0.9377745823261672,0.22771477490691594
12,0.9145994331490683,0.21858063287273216
13,0.9640152635399837,0.22312729405940163
14,0.9613326670919422,0.2182684382404617
15,0.885340750178158,0.1915794165222394
16,0.8309752484938571,0.18132938851169392
17,0.8601114083346092,0.17389808170568236
18,0.841513202431612,0.17271928224965669
19,0.8801355577532697,0.1699070752471547
20,0.8303388975547518,0.1605423006875182
21,0.8277124481229428,0.16030221841679124
22,0.7848381861133449,0.14434548814674214
23,0.7639949425125769,0.1452984869183123
24,0.6799837242519811,0.12446618619862891
25,0.7349167454611205,0.12817350066312536
26,0.6833083614939133,0.12215714439971187
27,0.7044822604555266,0.11815494771747093
28,0.6919396798226153,0.11773736390785196
29,0.6680633499855289,0.11335872474019859
30,0.6912126641400081,0.1117366665883827
31,0.7229008341922042,0.11065482517758697
32,0.7467206544314458,0.10906046128428165
33,0.7352102345806889,0.10537760410945228
34,0.7920798874441729,0.11516269621717481
35,0.7168184756991712,0.1059978761088848
36,0.5606853445308554,0.0844883995837951
37,0.6065116191498338,0.08987497942293256
38,0.6074062401942647,0.09709384426698764
39,0.6059490240660681,0.09382872610175706
40,0.6180990864818159,0.09028229187218693
41,0.6644254714710809,0.10232482847398772
42,0.6501366894182848,0.09744111438856909
43,0.6294092421388917,0.09540621168924095
44,0.6305437390046009,0.09820894285290871
45,0.45483531515233494,0.0669545191203877
46,0.452400011335097,0.06749134348183344
47,0.41216400610943016,0.061120475957741394
48,0.42728705815584056,0.06423509803481868
49,0.38954549746483047,0.06010722476861046
50,0.3997077815439255,0.05727505801108884
51,0.3880718561476859,0.0564632015103558
52,0.3674525241309553,0.052628609130645494
53,0.36178431756550194,0.0559103909342736
54,0.3709952177584479,0.05644813469993011
55,0.3790071654964245,0.04920697120171167
56,0.3435554234316417,0.05165633660454782
57,0.33460508659456234,0.052069952467305926
58,0.34637879654331605,0.05044817091432678
59,0.33653898144873096,0.052544100549978136
60,0.3293703096446848,0.049589961780226566
61,0.3356112114502719,0.0525606016490208
62,0.3251275941482658,0.05113766393585951
63,0.33418852188697235,0.04968532453125367
64,0.345758848140231,0.04878002753641449
65,0.342671576195716,0.04607689710180047
66,0.3564994807674805,0.04990046525011485
67,0.33881331576799417,0.04764424103995391
