sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,3.443525867918037,3.3575120962499865
2,2.5586039948213197,2.2165152829711263
3,2.5823245978796234,1.819808523422998
4,2.553106666174571,1.5663751486754076
5,2.4994489506809097,1.20096630691751
6,2.1711017503441243,0.7077640851552442
7,2.1144614566754623,0.6553268170036372
8,2.269754295436988,0.6081063906875257
9,2.3660661063260755,0.60417354777697
10,2.8462485597563782,0.8199638440069194
11,2.728444794957035,0.7294393073403903
12,2.780649915895996,0.7445388525763231
13,2.958692898347581,0.7439684491951122
14,2.8605996592144756,0.7373148659516967
15,2.5307855311480623,0.6129273054777401
16,2.466981315232792,0.5954540173272265
17,2.3816952568191567,0.5636900729317186
18,2.4323795999535314,0.5900144982016484
19,2.4822387574605016,0.5496058306882263
20,2.368299321593142,0.543873573418343
21,2.3852190884304516,0.5230808999615337
22,2.325918827811493,0.47162001853707924
23,2.269412684161403,0.48691748729751705
24,2.169681785589618,0.4091659794272422
25,2.2273002357662537,0.4216506400483272
26,2.104143530524329,0.39595512872588084
27,2.3214911143654398,0.45093293649287036
28,1.8751029250384461,0.36344788758088603
29,2.0815570934619365,0.3756194808057817
30,2.2452809217010605,0.38521977605996816
31,2.428394396615039,0.44634875468538493
32,2.0215396634954543,0.3249629959808432
33,2.0894134480137088,0.34463804725229485
34,2.2248293244584647,0.36583546458072963
35,1.9275711775941784,0.3173019937520775
36,1.4841567608134687,0.23797549550388683
37,1.6976090576480285,0.2693583743635581
38,1.5968036628641258,0.26507496161272504
39,1.6036134677782208,0.25850760880727636
40,1.6383617934284844,0.25132495887326417
41,1.6452167080746873,0.25109573529890283
42,1.5993894151627472,0.24725412472358219
43,1.6362867439214726,0.2862201403589082
44,1.5872176535240372,0.24710788992566138
45,1.5146065146682228,0.22849250819041367
46,1.175248651673853,0.1826693479367028
47,0.9842642446201161,0.1524158198073337
48,1.0380828514844096,0.15599017396682358
49,0.9087969838750257,0.12639770358907748
50,0.8188965149133967,0.12303800020144301
51,0.824771082070027,0.14056993803263687
52,0.8137134617528593,0.12845243116270952
53,0.8011358574298993,0.13615514428265893
54,0.7795262349643657,0.10883033385107536
55,0.6707672807620534,0.10290778639692592
56,0.6506305799891966,0.09654069905358705
57,0.6699485768292176,0.09447559162806934
58,0.6380039065642904,0.08967398914416727
59,0.5847356877505381,0.09132576267637559
60,0.607624349417644,0.09078908355956952
61,0.6239016710895661,0.08813983941867858
62,0.6200708503420046,0.08285869313939219
63,0.6166602215484213,0.08814306282958671
64,0.5905449798662906,0.09052716135817929
65,0.5480280210540075,0.07902118760694046
66,0.5497463157539252,0.08544136227341952
67,0.5441596208480315,0.08406221339449374
68,0.5443551765826153,0.08044239491139474
