sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.231322754109246,3.980569609861057
2,3.5909595410647563,2.2754273479680847
3,3.30920330794451,1.6983099481985284
4,3.332165192681525,1.4909266769663736
5,3.588862341132833,1.2509976113682815
6,3.3509842663772407,0.7266600860182436
7,3.202857309252935,0.6927505485913009
8,3.247929085871932,0.6774749380615165
9,3.572973949767748,0.7314464004787951
10,3.6302072026451904,0.7916134240050524
11,3.4722209685574668,0.688596008875386
12,3.4427371710358114,0.6809851587803993
13,3.6803231449777503,0.7066242896678329
14,3.4403208925799773,0.6528490825472765
15,3.4520125695713304,0.6242243348236987
16,3.211109949003615,0.5960472402396072
17,3.1735542290576078,0.5486836842208026
18,3.3100359343793135,0.5621065463498214
19,3.391986190825744,0.5521647971568013
20,3.165189637528102,0.5198057159625329
21,3.129068109643519,0.5275232984624033
22,2.6774977426488524,0.4201877669906179
23,2.34845796202615,0.3812822711084773
24,2.2964248162834076,0.3540161256467213
25,2.3794659543305916,0.3613714040280949
26,2.5315171663348144,0.353939700203838
27,3.104398781020355,0.401292718166677
28,2.7062172109903555,0.3509698839741934
29,2.6357782469344633,0.33112590131102393
30,2.614628746397723,0.31316809082794034
31,2.451619148059761,0.3154124182539109
32,2.7082984762207873,0.3609358217893395
33,2.552764775707127,0.3238939559591448
34,2.602842422500591,0.3075692401293052
35,2.622239948989571,0.33834201304855127
36,2.7594851936003852,0.35955613859522445
37,2.7615734921377184,0.3415094477482138
38,2.711609535514304,0.35102278623818384
39,2.5839808712164047,0.29111781393150077
40,2.658365502576294,0.3449213749970786
41,2.17563469803032,0.2871647433756285
42,1.9413506342099487,0.2599678963015607
43,1.7849048010937483,0.24835481572882276
44,1.6872655099369926,0.2228713345917975
45,1.725071423844511,0.2262711520520789
46,1.5560603971994338,0.2212074590649018
47,1.5046984720367704,0.18959200269930557
48,1.628605143454001,0.21151248472424386
49,1.4338016990807225,0.20898124657402062
50,1.3915900140677113,0.19628880775299562
51,1.3840490466332342,0.1876439409082691
52,1.3549110410310532,0.17076470549940717
53,1.362578440973928,0.18643136617586373
54,1.409811508299593,0.18210210427385393
55,1.3642411625407451,0.17825118123028613
56,1.3879144777836883,0.16930979153745168
57,1.3987398016409913,0.18744498268418688
58,1.3026176782310197,0.17321430301603544
59,1.2952063189493437,0.1681533107508691
60,1.213111110152809,0.17585096620539722
61,1.1920632817779957,0.1822897942457344
62,1.1452828740170347,0.16085745914542265
63,1.1428880506542012,0.170773844816883
