sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,4.467341252730593,3.9390635200775397
2,4.3893014214869845,2.3661297291875636
3,3.9273127369269916,1.8777003403266503
4,3.3612580512929915,1.5676280829736378
5,3.449218962232222,1.644702122272538
6,3.3585027424303147,1.5039094247189184
7,3.03336164126141,1.283254167694969
8,2.9236819132065883,1.099841267176929
9,2.453327710950409,0.8577516448496819
10,2.454072542550281,0.8050839797943772
11,2.433451178936339,0.7351284998499702
12,2.4033791553881017,0.7034830504017204
13,2.436830554594781,0.6885066851624522
14,2.35953946831768,0.6417795257514299
15,2.3750054641309455,0.6490742384112574
16,2.457564584098698,0.6293411361425787
17,2.4316970579360957,0.6082067717551085
18,2.4416791107318563,0.5809980100497516
19,2.3371556199177754,0.5423635849193318
20,2.2318654072836415,0.5288326775499647
21,2.169285955066527,0.504211954472998
22,2.0729804330943375,0.49606777833736215
23,1.944396460326556,0.4802154616114649
24,1.8504992482861582,0.42826127075918285
25,1.8776783370092538,0.416508387425602
26,1.7467127392170378,0.4060156968212422
27,1.5325709072381324,0.34065553941457444
28,1.5431130766567065,0.33823623568079786
29,1.5638933024441555,0.3407760053774235
30,1.5241729746889912,0.31844915616587316
31,1.469575171771994,0.30628764215819576
32,1.4177433784610072,0.29686696013689545
33,1.3775671318312024,0.28503615210446703
34,1.3868207944108817,0.2825404406401976
35,1.3159660449065598,0.27720133625040777
36,1.2548529906934125,0.20382128011857217
37,1.2261797273735286,0.20543573586108071
38,1.2742748433029756,0.20711461697131942
39,1.2042296724250114,0.19900489543921643
40,1.2355255012291366,0.2017500507400466
41,1.260026028244715,0.2080233111784893
42,1.2466741044793093,0.19639074661187852
43,1.2028432021854947,0.1876007980660169
44,1.1964254042809235,0.19869537746671165
45,1.2056618819809992,0.18702698970654402
46,1.2294156216880714,0.18738261831251804
47,1.2552241629242336,0.20089221146861766
48,1.1579030147729654,0.17653576880999006
49,1.1153922997844317,0.16486942715274838
50,1.073331288439336,0.16822890558752104
51,1.083396754009316,0.1590262623000131
52,1.1161461688211372,0.15869895728617145
53,1.0327068026185773,0.11966442122199926
54,1.0306000645092532,0.12498963355251466
55,1.0083646878466057,0.11958473300330907
56,1.029263089949996,0.12189837129885947
57,1.0036339375728127,0.1282584238412854
58,1.0361665627273342,0.12836302025422683
59,0.9872180597835492,0.1145160605039201
60,1.02130590792866,0.11856062241525846
61,1.0112035659728094,0.11467525356295818
62,1.0689926161672798,0.13000853377986418
63,1.003537875234327,0.11944573643783564
64,1.0324020395937703,0.12593547277615003
65,0.9959898516943275,0.12077022193781366
66,1.0035394917111031,0.12098107679219247
67,1.0048822076905237,0.12332041359215157
68,0.9838058215164615,0.11685332628849393
69,1.0031495556866579,0.12048017427999688
