sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,5.143958777001631,4.112336519971112
2,3.9681498270105133,2.562454464478141
3,3.5830683410502857,1.9302143752846415
4,3.6647434116896607,1.703115599616817
5,3.6500368265543353,1.2753850918123106
6,2.901742361490405,0.8123761163424085
7,2.8703076684767863,0.7417578790351972
8,2.9726358995920044,0.7447443081776783
9,2.946074939073546,0.7273523606736104
10,3.630021986464032,0.9214571318771073
11,3.794454047054983,0.9547662392688651
12,3.7135649458548756,0.9215113908637679
13,3.626050960973155,0.8213661669326531
14,3.8410244033799885,0.9121617695659994
15,3.42000979326375,0.7863459298192771
16,3.1321618807725264,0.6874394460276236
17,3.569497432195982,0.7698985004374059
18,3.4846888847068684,0.731453386779661
19,3.116690926903224,0.6656956599518502
20,3.251044721613128,0.6689451987904902
21,3.2092628924917808,0.6662729480439556
22,3.125217145686231,0.6176614323831368
23,2.859309508425727,0.5718350595748134
24,2.815451280467977,0.5399319231672053
25,2.8059913316681833,0.5177080956383604
26,2.936594192362401,0.5345148045728768
27,3.062988669723624,0.5766316647855594
28,2.4949832745512364,0.4201884550031448
29,2.884534007895642,0.5044467065352701
30,3.0520797789987357,0.5659404656028819
31,3.2586308394267194,0.5760586607706991
32,3.1529422454446006,0.5375670404090166
33,2.9735124448196832,0.4937780651273204
34,3.186887123058296,0.5061674975851733
35,3.330571387158396,0.5451096108043281
36,3.198949305180641,0.5291106967115106
37,2.71986691300622,0.4823011849119274
38,2.7795956441641954,0.4941219568745982
39,2.0140853003913732,0.27325418711692867
40,2.4296742570945185,0.3570386010255928
41,2.3220085973482973,0.333993178515602
42,2.364521225205183,0.3470004492930656
43,2.269118003237269,0.3083460957468778
44,2.3374457385314797,0.32111674264700585
45,2.3629877205182646,0.34486022409721595
46,2.36842367634046,0.35816033258421137
47,1.907216725890474,0.28493167424140975
48,1.6949225181642213,0.2349635517466133
49,1.6533488011305386,0.22891532794054875
50,1.7926585043548686,0.2488095627640546
51,1.449256841242204,0.18830180891682294
52,1.427218167559982,0.18489972438874192
53,1.3686746262564502,0.17094669712505278
54,1.2685480289833242,0.14745120173143125
55,1.2441588111668362,0.14739214483303997
56,1.215829264676593,0.14582031064023349
57,1.194704375784822,0.14016155390168694
58,1.1419315897613291,0.12600562727062373
59,1.148196524382032,0.12940496307002658
60,1.164552533260496,0.13040683994149402
61,1.1492325026342118,0.12533581357361384
62,1.1268984579143047,0.1241583746713817
63,1.0884274389772808,0.11668159183524279
64,1.090565887562584,0.12354035704717774
65,1.0768257681056614,0.1319601686195271
66,1.0211460412777769,0.12812055144180062
67,0.996861410460208,0.12019331468222595
68,1.0117142877145526,0.12195388650363095
69,0.9812039221734702,0.1147958856109266
